"id","y_2012","y_2013","y_2014","y_2015","y_2016","y_2017"
"Warehouse District",22564,18099512,308372,31500,461366,13700
"Waterford",11400,206328,119225,187244,170722,32830
"Watts Hospital-Hillandale",1626709,2406814,3509888,2937835,3338711,4025111
"Welcome Circle",,50200,129409,25000,86000,40650
"Wellington Forest",101500,57763,48476,61636,51650,37083
"Wellington Forest",101500,57763,48476,61636,51650,37083
"Wellons Village",46995,112950,,9300,5000,
"West End",405587,775813,137643,1588021,499751,577344
"West Hills",280258,21176,38100,667367,109540,210000
"West Murray / Broad",,101772,,,127126,40700
"Westgate Townes",16000,,,,,3150
"Westwood Estates",45808,52550,194009,206243,153484,226842
"Whitney Park",,,,,34900,
"Willow Hill",7000,36000,152723,,3219,14500
"Willowhaven",350946,350000,126718,153325,1626815,131900
"Windsor Oaks",8635,,40595,98175,34525,29920
"Woodcroft",309289,505272,266824,293573,944628,318673
"Woodlake",248085,55403,217974,162716,347193,334852
"Woodstone at Croasdaile Farm",,,,,,
"Woodwinds",13000,21823,,,3800,
"Wynstead",,,,10000,,
"Wynterfield",2832356,3000,,,,
