fips,y_2017
37063001100,0.064282513
37063001301,0.065544294
37063001303,0.066471342
37063001400,0.063783941
37063001002,0.063023856
37063001304,0.066564474
37063001501,0.063041878
37063002022,0.062681052
37063000102,0.06327931
37063001502,0.063041878
37063001708,0.063313755
37063001706,0.063041878
37063002013,0.062681052
37063000301,0.06378993
37063000302,0.06447962
37063002016,0.066564474
37063002015,0.065894652
37063002008,0.066564474
37063002023,0.062681052
37063001808,0.062765069
37063002021,0.062922892
37063002200,0.06447962
37063002026,0.062681052
37063002300,0.065171121
37063002025,0.062681052
37063000101,0.063313755
37063001900,0.062990805
37063001807,0.062765069
37063001809,0.062624008
37063002019,0.056224919
37063002020,0.062681052
37063002027,0.062704402
37063001806,0.063201023
37063002024,0.062681052
37063001503,0.063041878
37063002028,0.059183607
37063980100,0.062214459
37063001710,0.063312733
37063000200,0.064161173
37063001711,0.063085672
37063001801,0.063313755
37063002007,0.066564474
37063002017,0.063784132
37063002009,0.06551881
37063001709,0.063313755
37063000401,0.063041878
37063002018,0.062171058
37063001601,0.061586255
37063001603,0.06266844
37063001604,0.063496162
37063001707,0.063190024
37063001705,0.063084197
37063001802,0.062830961
37063002100,0.057964036
37063000402,0.063041878
37063000500,0.064350482
37063000900,0.06447962
37063001001,0.062916453
37063000700,0.066074063
37063000600,0.064402068
