"id","y_2010","y_2011","y_2012","y_2013","y_2014","y_2015","y_2016","y_2017","y_2018","y_2019"
"37063000101",1087.70683302103,431.208775193889,310.957020496325,910.742307095352,1261.61432280135,1336.33048190394,160.803969540349,264.592045078835,433.827692225931,1033.49561545906
"37063000102",382.141510640278,312.451503506468,348.501573237709,394.922845133804,107.268688776271,106.96556728457,96.2508288016329,355.175826421332,391.151848761982,348.638937441056
"37063000200",365.753307327363,453.786435883683,479.559057069744,365.475141251382,85.0764289073539,713.571615291325,560.981415840275,625.82074467361,709.476813977911,115.846197113968
"37063000301",1049.32185386404,898.446273494716,1178.81237562652,1093.51523944459,257.118145276308,93.6885288375465,761.869985188921,427.549615503209,413.956592142331,587.149234346195
"37063000302",212.292867742557,314.168496176472,241.548291126709,262.74433484387,289.956293573897,190.65679282886,276.001074718567,208.759426768633,139.423386380222,13.9397944453077
"37063000401",193.037578563675,133.578718368895,174.136787392782,190.880536110709,112.892016597269,152.337443221145,110.14087722365,68.9651406875694,91.780237554608,232.540285014543
"37063000402",492.962077779545,152.532810105678,296.116046930738,249.922164638115,296.418577087309,416.287690863406,148.958282406971,178.148910052743,226.464334646312,139.741077891026
"37063000500",821.286429876339,1524.19062354982,648.724835482141,404.075210796514,208.65048360463,554.560510898784,208.114764431216,253.761722458245,415.455686088491,213.785444432115
"37063000600",213.962945300143,312.652085325494,450.771560144783,387.619222465398,287.12559370915,244.383620678482,208.339612639383,350.258320866407,346.624689951522,370.352615818165
"37063000700",1688.8203173071,663.925513795355,405.643248256284,270.839623380675,340.35186490132,267.585664820098,481.840310174458,369.204411109717,430.279101551124,169.236267611772
"37063000900",NA,35494.3017056863,36009.4609843322,25656.5899357047,23820.0570772834,8804.09467670766,16638.39249337,6683.00976713528,1848.88854037459,8256.32681416459
"37063001001",10383.0639339383,12940.9967702378,3508.7677587204,3040.01706164715,2947.9540914766,1416.83839394591,536.20356134674,322.008937960867,2527.28411354524,1437.76602788091
"37063001002",1865.4722802217,2070.22413133623,622.507487084264,2934.78655188832,1077.23025075779,1558.79865757167,2341.72462579171,1559.21746040212,646.11940626605,337.028857983912
"37063001100",5184.20208514833,4877.74312847205,3407.63315026467,3598.24893255085,5233.64993543558,4732.71385075465,3342.92859767723,1686.18605972678,861.213278740159,1019.66619010839
"37063001301",NA,22104.7494919929,NA,26993.1709822158,26029.0536285798,46420.2019150107,10160.066123434,15706.7116468775,55811.9373228251,40339.2530842861
"37063001303",NA,245.641722516987,332.749691526449,214.495658614469,175.526944525689,1886.91220412164,1670.24638156262,415.71961606018,491.333569068618,588.012835464563
"37063001304",32683.9378311262,34247.9331479961,13837.3645861994,22868.2040623885,22858.2069370631,19983.006072969,12121.9979870006,NA,116456.587879319,60666.5001283753
"37063001400",NA,NA,NA,NA,NA,NA,12473.3810479317,18987.8007837062,19388.4697572367,14823.4154763211
"37063001501",84.594243158392,88.7403286781247,53.4992453540253,72.9896282660344,86.9238932392122,62.1104309194387,26.0432046784728,27.2200450740592,24.9122812075371,21.531761828796
"37063001502",127.376685253336,425.482818518468,329.789831032155,117.435109358616,419.4643116141,511.405351888336,490.063754888917,325.461902800623,358.702129963904,381.056789994498
"37063001503",342.174232794497,575.128293732898,12.2539945634532,56.8380304485388,94.1895574192563,100.79041177144,41.5987460142232,26.0103027999754,26.7075827209461,14.1679972742875
"37063001601",29.0213927858103,78.7861040578216,198.406269061084,77.6915294694235,72.3101341045511,39.0354130796449,156.182364744675,124.077971660803,165.369645811584,186.404167296529
"37063001603",112.658939417963,58.2306290601907,94.2696180320173,38.2413005504726,117.970238984828,90.119498466988,92.8318716167909,129.800840562083,185.787025576762,108.108183127785
"37063001604",66.5783757910673,55.3209005474315,106.319246173422,52.2250353759023,49.0610185753329,45.8586689743825,67.3034629865228,69.962914295055,83.5904654896298,51.380915102734
"37063001705",287.016758296326,222.22708000026,173.707524060928,429.561028787884,454.516509481131,548.340877596215,559.504177201102,506.79922496049,189.2838555096,75.181350049703
"37063001706",85.1731904343834,285.014502081934,148.740702888651,78.5438830308527,109.781701526211,208.748746331729,145.167175717592,135.798482438796,195.162154260414,76.8128429139583
"37063001707",42.6588015387691,69.5896932425398,69.4035385908231,82.3589605321514,93.5799380931178,70.0991279214413,88.3898649957908,81.2629400775663,89.6484606593259,92.9573659570124
"37063001708",3432.87089032255,5175.25797974495,4242.37583193615,5297.64288304418,5417.88003747891,1786.40149358465,4157.63018990307,2083.06763899292,1614.56882781949,639.083212850749
"37063001709",1872.94607194687,1458.61701282111,1050.00205336305,1840.97635881433,1116.13733334426,1134.40865731265,927.908928720468,1478.00907798843,1368.86234431045,1713.74500420295
"37063001710",50.928762262205,508.005260741413,614.899144110987,577.423304557513,569.290405573031,666.278562116894,582.074985519046,511.059180928282,571.256487674899,547.427431567909
"37063001711",675.790152625245,753.21414224708,712.449348828788,110.564946441509,563.306619543925,588.939810520764,612.566708620391,643.9598765024,341.771499742414,1074.25108907586
"37063001801",156.010610956703,81.7815453236519,49.4501899119945,176.826989646069,22.1982274320637,325.547168576806,241.232912640965,183.133864826759,173.237162056269,135.375277126114
"37063001802",957.770926151641,911.541247080341,891.030001440395,1153.82783124243,1218.76599649576,964.39962209878,1224.96766414412,1502.13499487785,1428.13976557375,1901.80254814657
"37063001806",283.429980620623,257.964176309913,325.256927288413,244.485438705042,66.0154732177572,82.8343425920817,236.266766759957,187.443803195812,181.88079922645,246.461349442568
