id,y_1970,y_1980,y_1990,y_2000,y_2010,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
37063000101,11,10,14,52,50,0,0,0,0,0,0,0,38,34
37063000102,14,11,32,55,72,0,18,36,53,83,119,139,65,92
37063000200,9,14,23,35,32,26,17,19,17,5,8,7,45,88
37063000301,4,19,22,41,75,185,205,132,118,77,69,85,88.186999360897,43.409009626517005
37063000302,16,27,32,86,118,142,108,130,146,133,38,121,98,135
37063000401,5,12,8,51,112,115,113,92,101,59,47,59,69.075904403896,58.0670217116
37063000402,11,21,16,24,128,294,197,195,190,181,165,134,370.737096235172,286.523968661873
37063000500,8,56,107,225,292,225,270,223,326,289,514,349,404.56551141164,309.85883347414403
37063000600,30,55,85,100,168,144,226,219,338,286,151,122,177.43448858836,235.141166525856
37063000700,7,18,14,21,71,85,72,123,109,135,157,146,187,152
37063000900,2,0,0,0,10,0,0,0,0,0,0,16,7,21
37063001001,12,3,7,5,11,43,49,0,0,0,19,21,85,16
37063001002,6,10,5,12,21,0,0,0,0,105,165,176,23,318
37063001100,14,0,0,2,6,0,0,0,0,0,0,0,88,48
37063001301,3,1,1,1,4,0,0,5,5,3,4,5,14,0
37063001303,8,2,3,5,8,121,93,101,94,92,87,87,23,74
37063001304,9,2,0,2,2,16,12,12,0,0,0,0,9,0
37063001400,3,1,1,1,3,0,0,0,0,0,0,0,13,0
37063001501,38,101,284,485,970,586,481,623,644,603,577,585,64,408
37063001502,27,67,514,813,912,828,1000,1262,1338,1336,1548,1420,1734,1362
37063001503,6,15,0,263,451,408,335,294,328,332,314,342,31,316
37063001601,0,22,35,138,180,92,92,152,147,44,46,99,140,131
37063001603,0,17,43,99,278,118,132,164,204,211,207,151,264.707317073176,140.97560975609798
37063001604,0,16,64,124,225,256,198,78,90,240,206,211,154,237
37063001705,1,17,68,89,174,22,42,106,126,159,165,205,203.634511683608,28
37063001706,3,15,114,255,370,406,400,712,583,535,542,540,484,363
37063001707,6,37,73,152,264,394,520,419,379,237,378,306,339.172649572646,166
37063001708,0,3,6,18,72,272,90,75,69,14,30,38,93,67
37063001709,1,3,11,25,62,114,159,151,174,158,52,61,103,67
37063001710,0,16,91,121,196,294,311,224,319,120,163,171,152,276
37063001711,0,16,43,101,78,110,56,57,60,154,127,96,138.365488316392,61
37063001801,2,3,15,15,34,17,57,53,20,37,23,1,55,1
37063001802,1,1,39,28,40,48,50,18,18,1,52,74,67,122
37063001806,1,2,15,26,45,103,48,33,48,41,0,0,88,16
37063001807,2,5,30,54,166,165,191,112,111,53,40,20,128,32
37063001808,1,3,3,61,197,51,53,396,571,586,556,693,666.599069148981,580.3803191489881
37063001809,1,3,4,66,144,470,407,427,110,94,34,27,372.400930851019,374.619680851012
37063001900,1,2,0,5,112,68,54,63,123,98,224,272,379.999979435761,287.999976199764
37063002007,9,21,100,177,185,85,81,57,88,55,37,57,152,56.00000000000001
37063002008,8,19,41,78,107,65,46,54,34,88,34,60,123,103
37063002009,6,3,5,12,16,27,42,64,85,78,0,0,31,32
37063002013,1,5,119,256,234,218,110,200,159,96,68,86,302,153
37063002015,1,44,179,361,311,317,245,203,283,299,180,207,351.932703660004,142.919716646964
37063002016,1,33,87,291,463,191,182,304,265,394,486,517,477.989755367504,531
37063002017,7,62,102,237,694,528,509,684,748,806,948,928,696.06729634008,1128.080283353036
37063002018,7,59,141,282,572,450,448,502,555,496,481,463,834.010244632496,420
37063002019,1,13,31,299,341,369,404,421,310,380,252,381,354.620009857,562.20847708216
37063002020,1,7,16,160,687,531,758,769,658,708,785,710,964.7613945981092,1075.8482238182642
37063002021,1,7,17,167,523,399,526,352,402,472,445,439,383,355
37063002022,1,13,31,302,316,191,166,147,164,213,339,340,235,378
37063002023,1,1,100,238,169,21,28,153,300,328,343,328,129,188
37063002024,2,2,167,398,502,682,637,594,533,429,494,367,478,247
37063002025,4,3,52,253,463,225,218,303,379,556,517,657,458,701
37063002026,3,2,39,186,201,135,50,67,60,74,126,142,225,94
37063002027,4,35,81,478,754,733,877,662,537,973,1283,1250,716,1102
37063002028,1,13,30,176,742,625,872,903,1160,1045,1112,1293,2007.10152723046,1301.518573041325
37063002100,9,4,14,47,92,15,0,16,18,17,156,56,107.999951064456,24.999967376304
37063002200,9,2,4,16,68,102,102,66,54,71,65,80,160,96
37063002300,4,2,4,5,1,0,0,0,0,122,3,52,91,98
37063980100,0,3,8,47,0,0,0,0,0,0,0,0,0.415479749183,0.156273727125
