id,y_1980,y_1990,y_2000,y_2010,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
37063000101,24,25,303,582,342,573,577,543,617,540,426,828,376,397,593
37063000102,28,52,852,1293,1277,1166,1105,1151,1174,1321,1230,1318,825,889,802
37063000200,28,20,451,585,553,477,995,880,876,773,910,502,715,850,935
37063000301,14,31,399,519,588,665,632,577,430,359,328,390,249,301,226
37063000302,24,68,387,692,661,657,702,652,531,565,694,594,738,512,541
37063000401,18,21,77,192,108,114,128,228,228,200,200,269,259,274,207
37063000402,15,30,156,298,156,157,171,165,192,208,183,331,248,247,222
37063000500,47,76,562,850,142,228,212,303,518,506,489,536,468,479,479
37063000600,32,51,782,1411,1205,872,997,647,938,1026,1038,1227,826,335,586
37063000700,29,24,83,134,309,256,307,196,205,224,247,253,214,209,230
37063000900,15,1,397,456,431,441,682,564,634,568,500,638,441,674,715
37063001001,33,20,732,843,1551,606,744,1128,736,1042,972,1058,966,1088,918
37063001002,27,35,1517,2495,2074,2117,2422,2898,3127,2665,2892,2822,2841,2712,3434
37063001100,35,48,910,824,590,730,802,857,878,704,621,986,635,681,680
37063001301,4,2,37,80,117,137,220,177,142,158,177,208,404,398,428
37063001303,24,26,23,105,209,173,306,330,117,136,147,249,346,425,479
37063001304,27,23,469,303,199,161,244,243,400,506,640,501,554,582,450
37063001400,27,12,144,207,115,95,183,316,333,329,387,505,561,563,657
37063001501,70,155,124,187,192,179,187,213,213,198,290,170,261,348,281
37063001502,46,91,1313,1663,1911,1865,1529,1348,1205,1205,1104,1070,946,1068,1249
37063001503,10,0,82,175,72,102,125,143,154,131,130,93,122,143,184
37063001601,22,17,63,312,722,730,710,890,609,549,681,753,289,253,382
37063001603,39,45,75,329,586,591,449,377,439,419,514,698,288,330,425
37063001604,38,44,66,254,74,39,64,139,134,118,195,399,297,777,740
37063001705,21,4,114,526,596,790,579,787,913,853,1140,1190,993,1216,1264
37063001706,11,67,156,347,363,402,447,301,315,213,373,628,754,712,695
37063001707,28,17,68,310,758,826,496,529,302,343,210,487,178,393,347
37063001708,21,20,111,329,177,644,821,865,1001,1008,822,919,519,543,620
37063001709,27,7,134,680,775,776,702,677,1013,1265,1007,1760,1493,2007,2541
37063001710,17,36,125,1272,767,947,1030,735,727,737,819,1262,963,751,824
37063001711,17,65,233,1169,1212,1184,1159,1062,1117,1030,995,1211,881,799,1114
37063001801,39,31,229,1275,1013,1073,1409,1548,1697,2320,2657,2412,2599,2855,2624
37063001802,39,100,952,1510,1752,2127,2458,2600,2982,2812,2933,2968,2537,2716,3449
37063001806,8,13,80,552,552,451,531,548,695,442,738,1207,1556,1263,923
37063001807,16,25,161,1413,1592,1530,1377,1593,2017,1819,2197,2510,2347,2397,2338
37063001808,7,11,176,638,526,744,748,577,712,841,684,1272,742,877,791
37063001809,8,12,188,531,925,970,1092,201,296,623,742,1080,891,496,1403
37063001900,12,22,31,175,118,75,66,64,151,145,166,435,531,512,531
37063002007,19,26,77,280,470,511,391,452,351,194,229,475,382,333,300
37063002008,16,5,34,87,159,131,36,50,66,75,71,155,115,128,96
37063002009,16,8,168,592,868,611,419,740,944,933,994,1194,925,897,1286
37063002013,3,83,126,443,377,474,384,421,477,472,433,538,350,357,250
37063002015,35,96,1144,1522,1083,1205,1304,1272,1718,2067,1545,1359,1366,1446,1514
37063002016,27,52,867,1968,2446,2300,2053,2007,2165,1726,1683,1513,1660,1336,2054
37063002017,31,48,63,289,356,376,353,268,295,213,92,570,119,58,310
37063002018,30,78,155,459,191,385,549,659,583,758,1065,767,1370,1159,1105
37063002019,9,16,129,193,324,353,281,191,134,84,57,311,44,27,64
37063002020,5,9,69,205,329,243,107,152,123,144,126,483,191,169,350
37063002021,5,9,72,303,294,397,493,471,291,746,400,429,848,660,556
37063002022,9,16,130,397,399,469,296,158,148,219,115,464,231,691,1017
37063002023,3,27,76,135,171,236,218,316,267,216,185,164,61,42,161
37063002024,4,45,126,299,279,351,379,407,425,362,252,490,211,270,235
37063002025,8,30,246,751,724,989,548,745,717,669,635,847,531,688,761
37063002026,6,22,181,831,509,596,730,793,739,676,1092,1128,2276,2074,2622
37063002027,25,43,132,770,1069,1062,1687,1863,1105,1081,912,1470,557,522,823
37063002028,9,16,49,468,479,406,341,397,438,588,710,917,599,599,511
37063002100,24,31,121,193,686,665,536,553,501,475,480,532,654,790,692
37063002200,6,38,200,212,129,154,13,51,86,142,149,269,143,123,100
37063002300,38,5,99,161,369,305,242,239,143,448,376,245,368,349,169
37063980100,2,4,13,3,0,0,0,0,0,0,0,5,0,0,0
