id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
37063000101,8446,10819,9512,6396,11231,16284,5795,17939,18102,18300,
37063000102,9318,6422,5902,5121,5547,6470,7252,4012,22195,25190,13148
37063000200,13792,6971,10235,15754,11917,11602,18043,14262,12867,26177,10718
37063000301,4720,14819,17623,16796,10586,10419,8306,5974,6858,16412,20439
37063000302,4900,6122,3711,34236,24281,16141,13081,56221,,7240,21252
37063000401,6458,30642,,,,,,36714,45126,63986,
37063000402,12668,16963,25916,24168,,,,,,,
37063000500,4841,3123,4140,5191,4195,7927,7392,5727,8686,10412,9260
37063000600,14535,12703,9245,6793,7920,7200,4958,8499,8775,6630,6137
37063000700,14495,5346,7874,9105,4942,14218,17927,17883,16626,3426,2929
37063000900,5775,4604,6622,7100,6623,5663,3456,2477,3337,11446,23607
37063001001,9377,4377,7641,10234,8630,16003,10234,3214,2677,3620,3563
37063001002,5906,5717,5171,5351,6009,4334,3961,3694,3764,4207,4808
37063001100,6130,2901,5374,4468,3535,1924,1836,1605,4779,6470,6570
37063001301,7383,4704,3424,3551,4542,4563,15064,12740,6638,8594,6466
37063001303,7644,7859,7355,5539,7504,7791,9262,10857,10232,10683,11404
37063001304,4948,4734,5578,7046,2872,2202,5611,3613,5186,6380,8532
37063001400,4816,6596,3647,3993,5712,5129,6568,7537,13045,12313,7812
37063001501,,,,,,,,,,,
37063001502,7990,4209,4147,4705,5383,4282,6463,6536,15125,,16607
37063001503,,,,,,,,,,,
37063001601,22740,14358,19219,35017,27387,8508,20114,31456,29061,31372,26812
37063001603,63062,36377,26830,7194,9449,11455,15806,30652,32708,33378,42540
37063001604,30593,31129,27120,34394,38829,25852,23195,73521,,,
37063001705,35761,50547,58350,33304,28664,21255,18204,30993,34446,37613,8519
37063001706,16929,8526,18318,11850,16120,9584,19966,14953,26716,21262,28317
37063001707,10060,46458,80973,69467,62955,71133,,96276,23277,,
37063001708,15443,10514,8848,11155,10102,7985,13195,10781,13648,23273,25443
37063001709,4059,3424,3175,3032,4864,5853,6117,6845,5839,3269,5705
37063001710,1028,10332,13116,11073,12566,10527,12844,4059,5040,28375,43654
37063001711,8410,8006,5433,5530,6764,4232,2840,3040,4660,5141,3930
37063001801,14851,17673,15910,16144,12218,18965,13329,17918,18153,20871,23745
37063001802,7145,17896,6480,4356,19553,16431,14398,12950,10947,8150,7772
37063001806,9907,6414,11066,6495,6581,7398,21932,8607,13220,26544,18989
37063001807,7396,8810,13514,12219,9343,11005,20476,21077,20882,,22755
37063001808,13701,14923,21305,17778,17680,20827,17328,10954,15922,35689,48400
37063001809,14055,14318,17898,27522,34098,24714,17984,2628,4764,3094,5352
37063001900,25874,33908,29041,44310,61264,39758,20893,32974,21649,35353,10347
37063002007,21943,21591,24442,21031,17107,31262,26195,21374,28968,12882,13616
37063002008,59178,138407,283270,87777,68030,48898,60420,68257,110814,40443,151049
37063002009,5108,4921,7021,5547,5950,6061,4865,4093,5221,6114,8981
37063002013,25019,34757,28087,13833,21126,34178,31603,23221,19380,25527,6063
37063002015,6530,4627,14566,9398,11690,12276,8521,15859,18056,8473,20011
37063002016,9882,2884,4017,3549,3118,3157,7531,5993,13841,,30540
37063002017,49849,80404,20358,28030,30446,36464,27178,92557,62727,,
37063002018,22050,12225,10390,12371,10783,17914,13670,20606,20957,,
37063002019,7631,9528,9260,10559,6507,11113,,,26184,37224,46002
37063002020,29504,32905,21467,32571,23243,11655,14496,17551,19880,29007,22890
37063002021,10538,22355,20374,10481,21750,21707,21801,32322,26246,36976,38731
37063002022,10010,17634,13888,9037,3213,3570,7250,15309,23329,15647,10530
37063002023,25907,18680,13657,19134,24033,14398,14986,20446,16815,34311,39904
37063002024,28454,26867,36449,35506,35481,30225,24436,25912,21120,42138,59484
37063002025,11278,16060,15739,9765,13025,18157,14039,14843,15703,17626,18728
37063002026,5452,6790,7258,5408,8574,6880,9217,7172,7610,4223,14507
37063002027,6728,6987,15564,15810,12211,8075,10784,14009,27975,13001,10710
37063002028,6423,16973,12327,10697,13337,10802,13248,12370,15618,33639,17688
37063002100,35575,32441,15768,21110,18187,25065,30362,12411,24540,46110,52561
37063002200,12019,5751,8178,4854,12681,6938,14113,9349,12244,14541,13797
37063002300,4866,3932,3590,4527,6424,7360,14837,20577,14027,29338,
37063980100,,,,,,,,,,,
