id,y_2016
37063000101,1206
37063000102,1874
37063000200,1287
37063000301,1186
37063000302,1675
37063000401,1361
37063000402,1064
37063000500,1515
37063000600,2316
37063000700,1723
37063000900,731
37063001001,1262
37063001002,2099
37063001100,1332
37063001301,548
37063001303,698
37063001304,1151
37063001400,926
37063001501,35
37063001502,3098
37063001503,
37063001601,2257
37063001603,2589
37063001604,2541
37063001705,2359
37063001706,2444
37063001707,3214
37063001708,1769
37063001709,2682
37063001710,1768
37063001711,2086
37063001801,2614
37063001802,2424
37063001806,2225
37063001807,3340
37063001808,2945
37063001809,2489
37063001900,1379
37063002007,2222
37063002008,1255
37063002009,1837
37063002013,1911
37063002015,2535
37063002016,2636
37063002017,3609
37063002018,3958
37063002019,2486
37063002020,2425
37063002021,2067
37063002022,2375
37063002023,1363
37063002024,2990
37063002025,2741
37063002026,2730
37063002027,3994
37063002028,3610
37063002100,2514
37063002200,894
37063002300,317
37063980100,
