id,y_2017
37063001100,346
37063001301,73
37063001303,45
37063001400,46
37063001002,364
37063001304,70
37063001501,58
37063002022,1436
37063000102,1111
37063001502,1154
37063001708,369
37063001706,2000
37063002013,1606
37063000301,715
37063000302,1713
37063002016,934
37063002015,1491
37063002008,1738
37063002023,1153
37063001808,2034
37063002021,1298
37063002200,918
37063002026,582
37063002300,73
37063002025,1318
37063000101,687
37063001900,1360
37063001807,1415
37063001809,1718
37063002019,1302
37063002020,2176
37063002027,1746
37063001806,1642
37063002024,2761
37063001503,3
37063002028,1740
37063980100,6
37063001710,939
37063000200,848
37063001711,838
37063001801,1703
37063002007,1948
37063002017,3767
37063002009,85
37063001709,490
37063000401,1600
37063002018,3140
37063001601,2492
37063001603,3250
37063001604,3490
37063001707,4068
37063001705,2093
37063001802,635
37063002100,3344
37063000402,1133
37063000500,794
37063000900,99
37063001001,318
37063000700,1207
37063000600,1917
