id,y_2018,,,,,,,
37063000101,306,,,,,,,
37063000102,1101,,,,,,,
37063000200,1084,,,,,,,
37063000301,867,,,,,,,
37063000302,1557,,,,,,,
37063000401,965,,,,,,,
37063000402,393,,,,,,,
37063000500,1515.381981,,,,,,,
37063000600,1296.53852,,,,,,,
37063000700,1807.237705,,,,,,,
37063000900,901,,,,,,,
37063001001,1119,,,,,,,
37063001002,1552,,,,,,,
37063001100,1385,,,,,,,
37063001301,704,,,,,,,
37063001303,775,,,,,,,
37063001304,1097.102722,,,,,,,
37063001400,1106,,,,,,,
37063001501,1,,,,,,,
37063001502,2351.447758,,,,,,,
37063001503,0,,,,,,,
37063001601,691.7381763,,,,,,,
37063001603,227.1659357,,,,,,,
37063001604,53.33100661,,,,,,,
37063001705,1208.964685,,,,,,,
37063001706,788,,,,,,,
37063001707,475.1629037,,,,,,,
37063001708,528,,,,,,,
37063001709,664.6192385,,,,,,,
37063001710,768.3695077,,,,,,,
37063001711,1034.311126,,,,,,,
37063001801,99.74017538,,,,,,,
37063001802,943,,,,,,,
37063001806,0,,,,,,,
37063001807,219.9413646,,,,,,,
37063001808,306,,,,,,,
37063001809,953,,,,,,,
37063001900,24.90070367,,,,,,,
37063002007,571.5609041,,,,,,,
37063002008,32,,,,,,,
37063002009,1677.930348,,,,,,,
37063002013,0,,,,,,,
37063002015,492.816182,,,,,,,
37063002016,870,,,,,,,
37063002017,1108.511469,,,,,,,
37063002018,1780.363491,,,,,,,
37063002019,0,,,,,,,
37063002020,157.9442287,,,,,,,
37063002021,44,,,,,,,
37063002022,1985,,,,,,,
37063002023,638,,,,,,,
37063002024,301,,,,,,,
37063002025,577,,,,,,,
37063002026,615,,,,,,,
37063002027,767.9109226,,,,,,,
37063002028,0,,,,,,,
37063002100,151.3117381,,,,,,,
37063002200,1671,,,,,,,
37063002300,875.8381295,,,,,,,
37063980100,0,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
