id,y_2021
37063001400,1597730.3767929077
37063001002,2804805.8959960938
37063001304,1450128.8368225098
37063001501,2303628.004837036
37063000102,3320636.9529037476
37063001502,2063473.7188491821
37063000301,1205761.3550567627
37063000401,2843347.9012908936
37063001708,5208012.800239563
37063001100,1181934.4294509888
37063000900,863257.6353302002
37063002016,2459442.6683883667
37063002015,3127310.9383621216
37063001801,26207435.155418396
37063002007,3237322.366996765
37063002009,6173115.794044495
37063002200,1306574.8738861084
37063002026,4839324.755302429
37063002300,1036282.6949462891
37063001301,617447.1809158325
37063000302,1440819.579902649
37063000101,2845287.0219573975
37063001807,4191659.233352661
37063001503,354088.01985931396
37063001303,1269580.3044281006
37063001710,2771232.8186798096
37063000200,2532099.8537750244
37063001709,6928721.268386841
37063001705,4941396.04158783
37063001802,7764786.866622925
37063000402,1209787.4981765747
37063000500,1876504.3305740356
37063001001,1924082.793586731
37063000700,2846844.6191940308
37063000600,5965405.654998779
