id,y_2017
37063001100,50
37063001301,12
37063001303,6
37063001400,16
37063001002,137
37063001304,17
37063001501,0
37063002022,9
37063000102,55
37063001502,84
37063001708,31
37063001706,16
37063002013,16
37063000301,34
37063000302,22
37063002016,53
37063002015,40
37063002008,0
37063002023,7
37063001808,31
37063002021,10
37063002200,7
37063002026,28
37063002300,4
37063002025,25
37063000101,22
37063001900,9
37063001807,67
37063001809,34
37063002019,3
37063002020,3
37063002027,23
37063001806,20
37063002024,6
37063001503,0
37063002028,16
37063980100,0
37063001710,33
37063000200,32
37063001711,37
37063001801,77
37063002007,5
37063002017,7
37063002009,30
37063001709,42
37063000401,8
37063002018,8
37063001601,16
37063001603,16
37063001604,8
37063001707,10
37063001705,28
37063001802,104
37063002100,8
37063000402,9
37063000500,22
37063000900,33
37063001001,62
37063000700,6
37063000600,58
