id,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020
37063002007,18578653,18824923,19295808,20934477,20074320,,19241934,26716388,28096209,25653605,29560755,31344909,46377008,45303943,43004980,50066126,50201010,50767001,120543535,67623771
37063002008,6609208,8918195,8111923,10976647,11779793,,9109880,13413571,16380609,15642336,17879406,17415821,16815614,15505983,16459350,16081611,16579972,13428753,33498485,20784012
37063002009,15141188,15261579,22700964,24258615,28875090,,34295008,45659734,45162743,47603658,45132378,49811707,50458927,51235599,50560863,59862935,51654346,59582370,121980570,115216866
37063002013,5023179,4204759,4903032,5612523,4825717,,4740576,6373947,7056563,6896128,9400220,8640908,7260407,6679718,6650488,6843689,8731963,12812122,31100850,17431710
37063002015,131034350,126630457,102423274,107934106,114001116,,131035334,161351110,144555543,146940633,144327283,140623329,139814823,143233753,163804621,194222430,191785649,233535070,496927119,261229113
37063002016,95664720,101087958,113872845,108317181,124213659,,137517432,178066911,184742603,178825042,182254086,175806410,159851305,160794321,160110792,215543887,207339658,211083636,513799672,264583315
37063002017,123629373,137937395,138644224,124527870,118928912,,123606301,222786070,213321538,159281594,162086813,186766770,187731582,188908263,207485468,258557357,242210303,244366924,526704886,282862134
37063002018,82900286,83406945,82319063,87508710,104565981,,118044171,180102983,180463118,214591166,212663967,232728346,260764368,260606915,275099057,320674980,280392071,289446557,737526493,533100727
37063002019,88548171,89879591,84795955,84224739,85274635,,104751031,142978966,138801050,140429392,141114675,145255455,146168966,149906906,149434591,186871232,136890412,183335787,415571147,233280141
37063002020,2176146,2645373,3273671,4745926,4817520,,7396128,19511883,25848356,24824889,36255854,39934043,24210971,24206359,25001849,25510080,20256442,23808163,44517308,39093040
37063002021,87597801,97672958,349387035,363366169,383995683,,392105704,731626935,757629766,419935991,427360096,434527190,451511427,408892840,438771455,491408617,483694529,508620178,1060831724,552835561
37063002022,59020083,57440343,57821096,60075106,61569097,,57365779,67692783,67994532,68455332,69504437,69725141,83139671,82385555,82390314,93579688,93650706,95062097,275486714,179451749
37063002023,50097709,41483284,30515712,31467299,30266416,,29653318,65261766,64948852,65534816,62186387,62221209,62171130,62300487,62793470,73522920,73757635,78715360,185106099,74756609
37063002024,16566334,9561288,10881224,12633272,12252545,,12682591,14754993,16354353,22855041,19431249,19633210,22497972,23624618,25682069,24225825,20806103,22120756,48657088,23799291
37063002025,22620435,22046733,22004871,18687634,28777551,,30724194,44448133,39322038,39026437,41229069,43084743,43842091,42275941,38146372,27710894,48564442,47814749,107964149,57879193
37063002026,57776550,60661453,60158094,72373421,72653488,,95068364,103436604,89190790,110807008,110688689,112116752,120074019,118344327,121314465,132628986,124647070,128571677,285418224,175033850
37063002027,423778578,456054853,396632268,395909338,460460882,,451237985,595743032,581563093,562770209,558420853,534298492,523956377,570061646,595266490,744684508,719171965,820235400,1487818430,826725101
37063002028,348013845,364993236,289355209,255101340,355203312,,368648809,757658360,700723143,612626554,661123947,810115517,900625510,928572054,1002711653,1277547730,1231568440,1488948553,3015436469,1854617195
37063002100,33751493,59364244,61125914,105134872,62028618,,77919703,104523546,78373594,101199271,74009523,73501857,90398252,91607562,87746149,109618890,109053177,109954354,198883902,108827691
37063002200,48561110,37292367,36775052,40107904,40759680,,35319511,20555598,19899566,18119200,18361578,47454569,99174553,128273863,132876658,259758688,263504218,414736933,975919452,671194887
37063002300,2660035,2229850,2350578,2891547,2908080,,2953482,8977606,8877154,6043897,6310588,5955328,7522018,10959168,11009622,17857523,31517942,36203022,221472581,105643108
37063980100,268801637,435259254,445492344,195506965,182673468,,172253103,214170109,495156488,493446450,406572367,185175906,218276426,262317455,268587339,543670439,515410665,645632641,1258595065,802223176
