id,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020
37063000101,145138186,144649006,146485200,147539604,148211644,,145344785,188674389,186572639,186510998,186441066,187650267,188001841,189194283,187526606,217954581,214360433,218921788,533179785,317463796
37063000102,336304752,334798204,354451434,357618203,358841241,,359669757,578127755,577308475,411126406,399570524,409244207,408883637,411438464,408118966,437769269,441062242,451708105,960637357,526434929
37063000200,140874443,134852382,140378633,142513446,143577726,,142644245,208555341,207200345,207426236,208342430,209005605,210099467,216096452,207827214,293207751,281538910,289410513,676012310,392543519
37063000301,141025777,145790959,119336260,119923227,121502090,,154505698,202571009,204010006,204412084,207565778,213158508,215323457,218605126,210923385,272199360,252527199,263092838,572653934,298527888
37063000302,169745113,168303456,169611370,167345658,168277653,,170393442,273360685,273866146,275786283,275951446,276843084,278182711,308261400,273853788,394099536,389481057,398580291,882574653,494982526
37063000401,208046647,208661916,210192891,210705025,211818938,,215296349,332734989,331074497,330366909,329494258,333033329,331246380,336366693,324404867,416814230,409275552,412575988,905086527,495630099
37063000402,155256410,154185681,157392506,183267035,185556022,,189837092,316756927,303776856,307473843,309652857,310963664,325551531,363261996,350985412,530782962,541784586,566260405,1249440956,685779358
37063000500,102324530,101231735,102796109,104837905,105619946,,107138079,160275687,159234046,173136465,174597390,180970270,187304554,189376525,186318720,273021773,267931294,292280655,710581434,425450440
37063000600,1142938183,1140844871,1141230010,298652697,313620825,,313119724,434444519,432973676,432319881,434251683,449323065,450195599,451663323,446137000,548203832,543948444,551152716,1295554980,751782827
37063000700,235334830,234354987,235408821,258461157,281812359,,313664657,464710416,463728185,485317263,489020553,496224375,497208759,521924887,555374831,719177404,682407371,690787182,1592590407,982674364
37063000900,45522736,44736747,44902668,44912277,45152640,,45010174,59052622,58416295,58278563,66207829,66258960,66291019,66682062,64256735,87460318,83274356,89126530,237027754,155610599
37063001001,115296397,113577660,111934385,105611439,105612268,,108137976,123379290,131112179,130743319,130468354,140651103,141820731,145245476,138926720,150449890,148355156,157135222,383267202,230076598
37063001002,137972195,137398281,142030597,144071374,148143397,,149931301,187370970,184727997,185262322,185104350,186166136,187639239,187241211,178227590,191319815,187512624,188422771,438369985,252911770
37063001100,73227595,71447055,71180054,72568828,74232549,,77867759,100859284,99545917,105857932,106541868,116288531,119972503,122576903,113093185,167207064,155926753,177397984,473709316,307615528
37063001301,54861723,54685467,54706368,55543784,55770964,,55598110,65794412,65686607,65218597,64789060,65268542,65050102,65738045,65105130,70542452,66711642,76027533,167560858,97885252
37063001303,90366616,90294018,91248231,90697883,90755822,,90938427,121831715,121301946,121434220,120442782,120343401,111554215,124002767,123417380,119794866,119504741,119925156,318995070,202182724
37063001304,72669459,72727214,74930836,75331219,75377246,,75446911,96624236,96199990,96186177,96196953,96099509,98430633,98283374,97671040,97602306,97149872,98073736,226899200,129826692
37063001400,90969415,87173837,87453209,87051518,87616921,,88936740,104318751,104934004,105068449,104913599,104863427,104957376,104772837,104322542,106517995,106065104,106318983,230210748,124250983
37063001501,325399839,325399839,325589520,279864680,279842920,,289532566,340324306,340324306,318670613,316684449,316684449,370458955,386585035,386313372,392356253,392356253,433709166,855062873,415574843
