id,y_1970,y_1980,y_1990,y_2000,y_2010,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
37063000101,3225,2442,1485,1056,840,894,797,752,905,1000,1046,1051,1033,1173
37063000102,3824,2895,2845,2107,1525,2559,2623,1746,1823,1735,1576,1695,1702,1506
37063000200,2283,1722,1536,1040,1148,1550,1657,1218,1400,1458,1448,1696,1512,1453
37063000301,1600,1142,910,669,895,1197,1394,960,1061,1118,1140,1080,1232,1209
37063000302,3550,2727,2420,2067,2058,2485,2446,2059,2237,2291,2459,2448,2481,2244
37063000401,3147,2420,2293,2124,1973,2699,2631,2601,2631,2538,2467,2419,2099,2069
37063000402,1471,1656,1185,1023,1362,1426,1623,1461,1541,1544,1710,1841,2165,1896
37063000500,1834,1688,1419,1009,1024,773,1088,1177,1226,1215,1254,1316,1594,1724
37063000600,4545,3594,3016,2380,2222,3249,3131,2717,2659,2723,2955,2917,2825,2780
37063000700,2177,1751,1734,1638,1635,1764,1880,1798,1988,2167,2230,2526,2245,2525
37063000900,125,48,50,62,62,410,344,81,94,209,239,234,370,348
37063001001,3775,2210,1038,454,291,1292,601,368,405,371,384,466,668,495
37063001002,3848,2358,1402,614,373,1459,1525,421,266,396,448,467,636,534
37063001100,1317,624,377,202,224,684,741,282,368,473,467,554,830,639
37063001301,4,1,8,31,26,125,133,43,58,52,38,46,167,218
37063001303,11,11,19,23,66,599,564,222,264,281,365,509,180,959
37063001304,12,12,30,38,38,191,153,55,93,28,42,72,196,123
37063001400,6,11,15,40,32,27,25,2,33,29,28,37,118,266
37063001501,3316,3665,3950,2145,1527,1571,1677,1342,1307,1324,1433,1572,234,2019
37063001502,2648,2944,2444,1424,1350,2215,2217,1261,1440,1423,1404,1395,2062,1344
37063001503,495,547,0,1165,1044,838,831,665,655,661,735,819,232,1087
37063001601,1480,3136,3563,3977,3610,3568,3666,3285,3291,3433,3491,3360,3417,2751
37063001603,1446,4100,4448,4681,4505,4779,4642,4068,4417,4546,4536,4613,4323,5390
37063001604,1378,3906,4692,4456,4995,5192,5196,5572,5206,5034,4924,4933,4804,3990
37063001705,2234,3237,3809,3050,2539,2771,3030,2674,2753,2687,2759,3149,2633,2768
37063001706,965,1312,2694,2652,2443,2247,2170,2288,2490,2686,2870,2880,2825,2764
37063001707,2666,3663,4097,5283,5361,5622,5397,5412,5503,5746,5490,5812,5885,6852
37063001708,920,535,702,368,416,419,726,308,455,651,723,889,581,804
37063001709,1176,658,518,511,758,1132,1389,781,830,704,807,745,991,694
37063001710,1103,1318,2147,1497,1251,1688,1820,1062,1260,1443,1353,1350,1257,1199
37063001711,1134,1372,2648,1680,1022,1574,1630,1240,1152,1110,1028,1086,1470,1388
37063001801,3453,3952,3661,2787,2126,2674,3075,2378,2026,2091,2234,2291,2156,2208
37063001802,2196,1993,2022,1178,695,1628,1789,704,655,579,641,591,842,467
37063001806,1339,1687,1711,1605,2359,2675,2593,2335,2356,2599,2996,2625,2413,2599
37063001807,2720,3426,3475,3260,2157,2845,3247,2346,2103,2332,1943,2149,1957,2283
37063001808,1232,1553,1837,2080,2372,2798,3571,3310,3653,3656,3965,4171,5015,4436
37063001809,1320,1664,1966,2226,2345,3310,3356,2234,2585,2590,2545,2524,2985,3118
37063001900,1072,1738,1657,1481,2235,2072,2425,2465,2462,2688,3201,3349,4679,4134
37063002007,1852,2123,2830,2904,2777,2896,2934,2923,2954,2969,3176,3096,2877,2957
37063002008,1607,1843,2222,2519,2485,2776,2749,2596,2630,2626,2562,2565,2607,3197
37063002009,165,151,26,47,85,325,388,45,39,43,84,120,303,104
37063002013,259,323,3292,2777,2512,3007,3100,2719,2601,2558,2577,2491,2699,2716
37063002015,519,1963,2426,2182,1856,2192,2728,2252,2425,2207,2371,2284,2186,2013
37063002016,396,1501,1491,1410,1297,2783,2739,1252,1436,1407,1665,1614,1586,1302
37063002017,2655,2193,3291,4217,5092,5101,5284,5432,5630,5565,5874,5749,5769,5405
37063002018,2508,2106,3318,4200,5296,6118,6099,5649,5596,6238,6125,5589,6640,6333
37063002019,709,882,989,2578,3277,4173,3886,3567,3800,3727,3467,3848,3714,3347
37063002020,380,472,530,1381,3542,3946,4198,4465,4373,4402,4290,4646,4877,5072
37063002021,394,491,550,1435,2102,2690,2873,2406,2225,2499,2187,2017,2250,2446
37063002022,716,891,999,2604,2045,2439,2465,2352,2504,2282,2106,2154,2266,1756
37063002023,67,68,1756,1992,1686,2077,2108,2070,2022,2068,1883,1899,1842,1883
37063002024,111,113,2936,3330,3904,3506,4044,3947,3978,4337,4261,4403,4616,4206
37063002025,155,139,1052,997,1974,2149,2928,2401,2587,2484,2453,2194,2201,1799
37063002026,114,102,772,732,680,1335,1584,671,758,711,1029,966,1131,1005
37063002027,1980,2467,1704,1907,2480,3399,3223,2838,2300,2332,2897,3832,4060,3647
37063002028,730,909,628,703,2522,3414,3263,3022,3162,3360,3742,4125,5392,4483
37063002100,1665,2009,3525,4813,5103,6243,6130,5909,5833,5757,5808,5683,6032,5862
37063002200,750,370,352,293,998,1137,1195,1150,1184,1182,1228,1218,2200,1532
37063002300,2,1,33,70,80,303,361,134,145,192,275,279,908,516
37063980100,195,243,168,188,0,90,75,0,0,0,0,0,4,0
