id,y_2017
37063001100,8
37063001301,4
37063001303,
37063001400,
37063001002,13
37063001304,5
37063001501,25
37063002022,145
37063000102,28
37063001502,795
37063001708,36
37063001706,262
37063002013,94
37063000301,47
37063000302,76
37063002016,266
37063002015,199
37063002008,64
37063002023,61
37063001808,156
37063002021,168
37063002200,33
37063002026,76
37063002300,9
37063002025,194
37063000101,15
37063001900,28
37063001807,65
37063001809,77
37063002019,71
37063002020,271
37063002027,289
37063001806,22
37063002024,237
37063001503,0
37063002028,311
37063980100,
37063001710,72
37063000200,23
37063001711,28
37063001801,19
37063002007,71
37063002017,350
37063002009,7
37063001709,22
37063000401,48
37063002018,239
37063001601,52
37063001603,121
37063001604,83
37063001707,129
37063001705,121
37063001802,28
37063002100,31
37063000402,109
37063000500,225
37063000900,3
37063001001,9
37063000700,41
37063000600,94
