id,y_1998,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019
37063002013,130000,148000,155750,159250,150750,150750,150000,156000,161000,161250,161750,162000,170250,172500,174500,169000,179750,190000,210500,225500,240000,251000
37063001100,35000,35000,39500,45000,52500,53000,52750,55000,40000,45000,41000,57000,67000,96000,124000,180000,236250,260000,268000,295000,319000,315000
37063001900,120250,115000,120500,127250,132000,145500,171000,182000,176000,170000,170000,169000,169000,172000,212500,305500,324750,342500,355500,375500,378000,377000
37063002019,191500,206250,216500,227750,236000,245000,264000,315000,357000,358500,347500,328250,322000,333000,350000,350000,350000,349500,383000,440000,445000,434000
37063002020,203000,209000,221500,231000,243750,252000,269500,285000,311000,326500,326750,322000,315000,304000,301000,303000,330000,343000,365000,380000,395000,404250
37063002027,101500,108000,121750,156500,163500,167000,177500,183000,190500,192000,195000,193500,187000,182000,181000,185750,199000,212750,229250,253000,270000,285000
37063001806,110500,117000,120250,123750,128000,137500,143500,151000,158000,162250,163000,163750,157000,160000,154500,148500,150000,169000,180250,196000,215000,224250
37063002024,147250,154000,165500,173000,177000,179000,184750,193000,199500,204000,205000,210000,207500,215000,215000,220500,234250,250000,258000,262500,279500,288000
37063001801,99000,97500,96500,111000,119500,128000,130000,133000,137000,145000,145000,139500,139000,142500,145000,138000,137000,138000,148000,159250,174000,180750
37063002007,140000,143000,148000,153500,155000,160000,174000,185000,187000,192750,207500,211000,210500,206500,209500,225000,223000,231500,243000,264000,276750,297000
37063002009,74000,74750,79000,82250,85000,87500,89000,94500,97500,101500,92000,91000,76500,78000,77000,86500,95000,108500,121000,130000,140000,149500
37063001301,46000,49000,45000,41750,42000,56250,52250,52000,52250,53000,63500,37500,31000,32500,42500,45000,50000,61500,88000,105000,125000,132500
37063000302,126000,137250,149500,156500,151000,151500,162500,182500,189000,210250,225250,260000,263000,260000,260000,276500,306250,325000,321250,334500,351250,390000
37063001707,133000,135500,150000,159500,164000,174000,183000,198000,200000,203000,212000,202500,198000,187500,193000,215000,220000,234500,250000,270000,285000,300500
37063002100,136000,143500,160000,172000,210000,235000,243500,259000,265000,265000,267750,262000,270000,258750,250000,257000,268250,290000,306750,328000,337500,343250
37063001303,54500,59000,67000,81500,77500,75000,74500,84500,82750,80000,75000,60250,52500,52500,56000,64000,64000,78500,120000,135000,148500,160000
37063001400,55000,55500,56000,54000,53000,59250,62000,63250,53250,55000,51000,89500,65000,50000,38000,40000,44500,60000,65000,73250,85000,87500
37063001002,62000,62500,61500,60000,62000,71250,72250,73000,70000,71500,63250,60750,46500,42000,42000,47500,60000,76000,101000,112500,127000,137000
37063002022,142000,144250,147500,155000,164000,170000,177000,182000,191000,195500,195000,197000,200000,197000,193000,192000,203000,215000,228000,241000,258000,269000
37063001304,65000,65000,64000,62500,71000,85000,85000,75000,75000,73000,69000,58750,50000,33000,62750,64000,69000,82000,126500,129500,132750,135000
37063001501,,,,,,,,,,,,,,,,,,,,,,
37063000102,86500,90000,90500,95000,99250,105000,110000,116500,118000,119750,122500,125000,125000,122250,122500,129000,137250,148000,170000,193500,206000,214000
37063001502,73500,67000,67000,60000,75000,82000,88000,89000,83000,93500,,,,,,,97750,112000,130000,142000,169000,175000
37063000301,70000,65500,79000,82000,85000,94500,99000,103000,107500,110000,127000,136000,136250,117750,123250,151000,180000,200000,232500,265000,265000,252500
37063001708,98000,98000,98000,97500,115000,135000,143250,160500,172000,170250,163750,161500,161000,160000,156500,160000,155000,164000,167000,183750,192500,207000
37063001706,164000,175000,181250,181000,184500,195000,204500,214000,251500,255000,245500,230000,225000,245750,235000,236000,230250,256250,263000,275000,298000,319000
37063002016,127250,130000,143000,147500,147750,145750,154000,180000,189000,192500,210250,217500,210750,204000,196000,195000,197000,234000,292500,315000,342500,355000
37063002015,119750,126250,130000,133750,140000,142500,146000,150500,158000,163750,164500,166000,166000,164000,164000,167000,171500,192000,203000,225000,239000,249500
37063002008,199000,211500,227250,253500,287000,308500,330000,315000,325000,328000,342500,331000,370000,402000,417500,447000,418500,420000,446750,475000,515000,515000
37063002023,152000,158000,165000,170000,180250,186000,196000,198000,205000,215000,220750,222000,212250,210000,210000,218000,224500,237000,250000,269000,282500,304000
37063001808,153500,153500,159750,163000,170000,179500,190750,208500,223000,233000,237000,237000,228000,217500,215000,222500,230000,250000,270000,281000,290500,300000
37063002021,171000,174000,188000,205000,220000,237750,242500,245000,250000,262500,274500,268000,255000,243500,244500,255250,261000,275000,277750,298500,310000,319000
37063002200,59250,70000,74000,80000,82500,80500,87500,78250,92500,84500,96000,81000,99000,73500,170500,150000,214500,215000,310000,370500,485000,496000
37063002026,91000,92000,102000,103000,124500,140000,145000,141000,135000,128500,139000,161000,156500,159000,150000,142000,130000,143000,164000,189000,210000,226750
37063002300,27750,27500,25000,47000,60000,60000,56250,39500,40000,61000,40000,33250,26500,25750,27000,182250,187000,195000,225000,277000,335500,373500
37063002025,123000,129500,134000,138750,148000,155000,164000,175000,189000,197000,195000,196000,194000,189250,180500,187000,193000,205000,216000,229000,245000,255000
37063000101,73000,78000,83250,89000,94000,94000,92500,96000,102000,108000,113000,118500,117250,106500,105250,123250,122500,130500,151000,176000,193250,203000
37063001807,115500,120000,126750,133500,135500,137500,141500,148500,152000,153500,152750,150000,142000,130000,129500,140000,145000,152000,164250,175000,189000,196500
37063001809,130000,132000,152000,167500,186750,192250,187000,178500,176250,185000,193000,200000,198000,195000,192500,200000,203000,215000,218000,237750,302750,327000
37063001503,,,,,,,,,,,,,,,,,,,,,,
37063002028,120500,128000,134000,144000,149000,160500,175500,178500,178000,183250,206000,209500,204500,204000,210000,213000,223500,235000,286000,325000,334250,336500
37063980100,,,,,,,,,,,,,,,,,,,,,,
37063001710,117500,123750,129000,134000,135000,136000,140000,144000,149000,150500,150250,150000,144500,139750,136000,141000,143000,155500,165250,178000,190000,202500
37063000200,100500,101500,100000,106500,112500,122500,129000,141000,141000,140000,149000,160000,166000,160000,186000,207500,255000,296250,325000,325000,345000,355000
37063001711,97500,104500,105000,118000,112500,116000,118750,125000,129500,139500,145000,145000,134500,134000,132500,139500,140000,145750,155750,173750,195000,202500
37063002017,188500,209000,214000,235000,250000,273000,289250,314000,321500,332500,325000,315000,310000,295750,299500,311000,327500,337000,350000,370000,415000,452500
37063001709,76500,78000,78000,78000,78000,94000,109000,110000,109500,105000,97750,109250,89000,77750,71000,78000,86500,99000,128000,142000,179000,171500
37063000401,117000,127000,137000,147000,149500,157250,165000,171000,182500,194000,210000,220500,227000,229000,231250,239000,260000,277000,297000,310500,340000,340000
37063002018,154000,165000,181000,215000,233000,243500,245000,269500,293000,310000,298000,291500,272500,321500,329000,330000,324000,315750,330000,369000,375000,389750
37063001601,133000,137000,140000,143000,144500,145750,148000,155000,160500,168500,164000,164000,160000,154000,155000,155000,162500,170000,185000,201000,215000,227000
37063001603,127000,132500,138500,145000,150000,158500,166000,185000,199000,211500,193500,187500,180000,180000,180250,190000,193000,198000,206000,225000,235000,242250
37063001604,147000,155750,171750,188500,198000,210000,216750,218000,222000,216000,217500,215000,214500,200000,200750,216000,225000,231000,236000,254500,266500,275000
37063001705,106500,113500,119000,120250,122000,126000,126750,133000,131000,133000,135000,136000,139500,135000,127000,127000,135500,150000,165000,180000,190000,200000
37063001802,90000,93000,96000,98000,104250,101750,104000,109000,110000,115000,115000,114500,88000,86500,91000,105000,107500,112500,118500,135000,147000,156500
37063000402,85500,89000,93750,101000,109000,125000,136500,144500,146000,153000,152500,172500,187750,219000,220000,230000,260000,265750,310000,335000,370500,388000
37063000500,50000,50000,50000,48000,53500,63250,71000,75500,76000,83000,75500,98000,109000,114500,124000,151000,160000,230000,270000,285000,284000,227000
37063000900,32000,35750,42500,42750,47000,54500,60000,59000,44000,45000,32000,43500,22000,26250,35000,48000,64000,85000,160000,247500,267500,270000
37063001001,40000,40000,45000,46000,48500,49750,50750,61000,58500,55000,47000,41000,33000,30000,35000,64000,75000,91500,110000,126000,132000,150000
37063000700,138000,146000,160000,169000,172000,177000,181000,185750,193250,210000,215000,250000,245000,245000,247250,280000,299000,331500,325000,342000,349000,350000
37063000600,116000,121250,131500,142750,149500,150000,153000,163000,173000,185500,210000,210000,214500,185000,197500,205000,253750,273750,296000,340500,385000,410000
