fips,year,value
37063000101,2000,1.31567
37063000101,2001,1.31567
37063000101,2002,1.31567
37063000101,2004,1.31567
37063000101,2005,1.31567
37063000101,2006,1.31567
37063000101,2007,1.31567
37063000101,2008,1.31567
37063000101,2009,1.31567
37063000101,2010,1.31567
37063000101,2011,1.31567
37063000101,2012,1.31567
37063000101,2013,1.31567
37063000101,2014,1.31567
37063000101,2015,1.31567
37063000101,2016,1.31567
37063000101,2017,1.31567
37063000101,2018,1.31567
37063000101,2019,1.31567
37063000101,2020,1.31567
37063000101,2021,1.31567
37063000102,2000,1.53674
37063000102,2001,1.53674
37063000102,2002,1.53674
37063000102,2004,1.53674
37063000102,2005,1.53674
37063000102,2006,1.53674
37063000102,2007,1.53674
37063000102,2008,1.53674
37063000102,2009,1.53674
37063000102,2010,1.53674
37063000102,2011,1.53674
37063000102,2012,1.53674
37063000102,2013,1.53674
37063000102,2014,1.53674
37063000102,2015,1.53674
37063000102,2016,1.53674
37063000102,2017,1.53674
37063000102,2018,1.53674
37063000102,2019,1.53674
37063000102,2020,1.53674
37063000102,2021,1.53674
37063000200,2000,1.16645
37063000200,2001,1.16645
37063000200,2002,1.16645
37063000200,2004,1.16645
37063000200,2005,1.16645
37063000200,2006,1.16645
37063000200,2007,1.16645
37063000200,2008,1.16645
37063000200,2009,1.16645
37063000200,2010,1.16645
37063000200,2011,1.16645
37063000200,2012,1.16645
37063000200,2013,1.16645
37063000200,2014,1.16645
37063000200,2015,1.16645
37063000200,2016,1.16645
37063000200,2017,1.16645
37063000200,2018,1.16645
37063000200,2019,1.16645
37063000200,2020,1.16645
37063000200,2021,1.16645
37063000301,2000,0.55125
37063000301,2001,0.55125
37063000301,2002,0.55125
37063000301,2004,0.55125
37063000301,2005,0.55125
37063000301,2006,0.55125
37063000301,2007,0.55125
37063000301,2008,0.55125
37063000301,2009,0.55125
37063000301,2010,0.55125
37063000301,2011,0.55125
37063000301,2012,0.55125
37063000301,2013,0.55125
37063000301,2014,0.55125
37063000301,2015,0.55125
37063000301,2016,0.55125
37063000301,2017,0.55125
37063000301,2018,0.55125
37063000301,2019,0.55125
37063000301,2020,0.55125
37063000301,2021,0.55125
37063000302,2000,0.66487
37063000302,2001,0.66487
37063000302,2002,0.66487
37063000302,2004,0.66487
37063000302,2005,0.66487
37063000302,2006,0.66487
37063000302,2007,0.66487
37063000302,2008,0.66487
37063000302,2009,0.66487
37063000302,2010,0.66487
37063000302,2011,0.66487
37063000302,2012,0.66487
37063000302,2013,0.66487
37063000302,2014,0.66487
37063000302,2015,0.66487
37063000302,2016,0.66487
37063000302,2017,0.66487
37063000302,2018,0.66487
37063000302,2019,0.66487
37063000302,2020,0.66487
37063000302,2021,0.66487
37063000401,2000,1.31361
37063000401,2001,1.31361
37063000401,2002,1.31361
37063000401,2004,1.31361
37063000401,2005,1.31361
37063000401,2006,1.31361
37063000401,2007,1.31361
37063000401,2008,1.31361
37063000401,2009,1.31361
37063000401,2010,1.31361
37063000401,2011,1.31361
37063000401,2012,1.31361
37063000401,2013,1.31361
37063000401,2014,1.31361
37063000401,2015,1.31361
37063000401,2016,1.31361
37063000401,2017,1.31361
37063000401,2018,1.31361
37063000401,2019,1.31361
37063000401,2020,1.31361
37063000401,2021,1.31361
37063000402,2000,0.55293
37063000402,2001,0.55293
37063000402,2002,0.55293
37063000402,2004,0.55293
37063000402,2005,0.55293
37063000402,2006,0.55293
37063000402,2007,0.55293
37063000402,2008,0.55293
37063000402,2009,0.55293
37063000402,2010,0.55293
37063000402,2011,0.55293
37063000402,2012,0.55293
37063000402,2013,0.55293
37063000402,2014,0.55293
37063000402,2015,0.55293
37063000402,2016,0.55293
37063000402,2017,0.55293
37063000402,2018,0.55293
37063000402,2019,0.55293
37063000402,2020,0.55293
37063000402,2021,0.55293
37063000500,2000,0.86473
37063000500,2001,0.86473
37063000500,2002,0.86473
37063000500,2004,0.86473
37063000500,2005,0.86473
37063000500,2006,0.86473
37063000500,2007,0.86473
37063000500,2008,0.86473
37063000500,2009,0.86473
37063000500,2010,0.86473
37063000500,2011,0.86473
37063000500,2012,0.86473
37063000500,2013,0.86473
37063000500,2014,0.86473
37063000500,2015,0.86473
37063000500,2016,0.86473
37063000500,2017,0.86473
37063000500,2018,0.86473
37063000500,2019,0.86473
37063000500,2020,0.86473
37063000500,2021,0.86473
37063000600,2000,2.7758
37063000600,2001,2.7758
37063000600,2002,2.7758
37063000600,2004,2.7758
37063000600,2005,2.7758
37063000600,2006,2.7758
37063000600,2007,2.7758
37063000600,2008,2.7758
37063000600,2009,2.7758
37063000600,2010,2.7758
37063000600,2011,2.7758
37063000600,2012,2.7758
37063000600,2013,2.7758
37063000600,2014,2.7758
37063000600,2015,2.7758
37063000600,2016,2.7758
37063000600,2017,2.7758
37063000600,2018,2.7758
37063000600,2019,2.7758
37063000600,2020,2.7758
37063000600,2021,2.7758
37063000700,2000,1.31469
37063000700,2001,1.31469
37063000700,2002,1.31469
37063000700,2004,1.31469
37063000700,2005,1.31469
37063000700,2006,1.31469
37063000700,2007,1.31469
37063000700,2008,1.31469
37063000700,2009,1.31469
37063000700,2010,1.31469
37063000700,2011,1.31469
37063000700,2012,1.31469
37063000700,2013,1.31469
37063000700,2014,1.31469
37063000700,2015,1.31469
37063000700,2016,1.31469
37063000700,2017,1.31469
37063000700,2018,1.31469
37063000700,2019,1.31469
37063000700,2020,1.31469
37063000700,2021,1.31469
37063000900,2000,0.39593
37063000900,2001,0.39593
37063000900,2002,0.39593
37063000900,2004,0.39593
