id,y_2017
37063001100,46
37063001301,13
37063001303,6
37063001400,6
37063001002,77
37063001304,8
37063001501,3
37063002022,112
37063000102,152
37063001502,77
37063001708,73
37063001706,157
37063002013,207
37063000301,40
37063000302,110
37063002016,72
37063002015,128
37063002008,146
37063002023,91
37063001808,250
37063002021,126
37063002200,43
37063002026,41
37063002300,7
37063002025,101
37063000101,90
37063001900,196
37063001807,235
37063001809,234
37063002019,76
37063002020,171
37063002027,203
37063001806,309
37063002024,197
37063001503,0
37063002028,143
37063980100,
37063001710,134
37063000200,72
37063001711,120
37063001801,335
37063002007,203
37063002017,352
37063002009,14
37063001709,84
37063000401,115
37063002018,247
37063001601,366
37063001603,421
37063001604,455
37063001707,494
37063001705,307
37063001802,134
37063002100,456
37063000402,56
37063000500,49
37063000900,11
37063001001,59
37063000700,102
37063000600,127
