id,y_2018
37063000101,1330
37063000102,1965
37063000200,1551
37063000301,1248
37063000302,1789
37063000401,1253
37063000402,2215
37063000500,2453
37063000600,2597
37063000700,2183
37063000900,901
37063001001,1565
37063001002,2308
37063001100,1497
37063001301,704
37063001303,818
37063001304,1100
37063001400,1203
37063001501,137
37063001502,4258
37063001503,0
37063001601,2642
37063001603,2721
37063001604,2703
37063001705,2535
37063001706,2766
37063001707,3491
37063001708,1705
37063001709,3491
37063001710,1885
37063001711,2938
37063001801,3071
37063001802,2633
37063001806,2503
37063001807,3751
37063001808,4219
37063001809,3186
37063001900,2533
37063002007,2383
37063002008,1249
37063002009,1970
37063002013,1916
37063002015,2681
37063002016,2834
37063002017,3655
37063002018,5322
37063002019,2825
37063002020,2832
37063002021,2314
37063002022,2356
37063002023,1486
37063002024,3268
37063002025,2637
37063002026,2883
37063002027,5364
37063002028,6909
37063002100,2844
37063002200,1782
37063002300,1385
37063980100,0
