id,y_2021
37063001400,23122.47544496949
37063001002,20086.060499945663
37063001304,6435.6033727584945
37063001501,41548.96519309377
37063000102,30814.23315110011
37063001502,47248.45611744537
37063000301,23009.451089066453
37063000401,14455.749938624464
37063001708,-49076.289429244345
37063001100,31042.729211360216
37063000900,8405.268513780087
37063001900,3007.0417161930927
37063001706,-5575.698426532093
37063002016,45023.42359412881
37063002027,12837.425006686943
37063001806,-108472.55190948956
37063002024,843.6485142598394
37063002015,78544.7316834887
37063002008,6803.244206653908
37063001808,-1901.3623103001046
37063001801,-444454.09500002465
37063002007,40583.54474247667
37063002009,6011.098347903251
37063002200,41729.272466659546
37063002026,39682.6902416863
37063002300,27848.725376277464
37063001301,8777.227989132749
37063000302,5765.8057053510565
37063001707,1364.8340499545448
37063002025,2635.44855260849
37063002100,
37063000101,-12932.311039896904
37063001807,-34425.38019569218
37063001809,-15088.048273670945
37063001503,6843.6023164889775
37063001303,22435.82564157038
37063001601,
37063001603,
37063002028,153.93160366127267
37063980100,
37063001710,-7180.888716910718
37063000200,5782.70994730341
37063001711,8706.155678614741
37063002017,4742.257409105783
37063001709,-31544.86348301428
37063002018,1.4200918674468994
37063001705,24383.363921478405
37063001802,-26027.93116570401
37063000402,26190.02052480541
37063000500,22894.034034649143
37063001001,21996.298563003074
37063000700,28907.678407398518
37063000600,-3958.715550853387
