id,y_1970,y_1980,y_1990,y_2000,y_2010,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
37063000101,3406,3071,2881,3151,3152,2705,2738,2895,3026,3074,3069,3150,3298.99999999953,3935.75343721313
37063000102,4039,3640,3637,4462,4535,4517,4380,4445,4506,4520,4386,4430,4430,3739
37063000200,2711,2605,2802,3116,2946,3307,3096,3190,3239,3319,3216,3343,2893,3405
37063000301,2981,2409,2337,2432,2504,2672,2563,2552,2578,2618,2454,2381,2351.9999999994698,2577.272672318447
37063000302,3695,3246,3352,3449,3426,3571,3388,3478,3593,3410,3556,3819,3672,3610
37063000401,3163,2525,2477,2665,2523,3031,2882,2882,3035,2967,2916,2900,2726.999999999784,2687.723498489736
37063000402,1872,2175,1440,1461,1963,1961,2044,2021,2054,2093,2242,2337,3094.999999999997,2807.003829191248
37063000500,4341,4101,3942,4213,4093,2834,3076,3477,3770,4170,4496,4532,4143.999999999502,4451.724429416008
37063000600,4680,4595,4529,5163,5177,5652,5628,6148,6017,5734,5559,5504,5555.0000000004975,5423.275570583992
37063000700,2484,2281,2660,2854,2830,2977,3291,3480,3731,3745,3606,3682,3701,3942
37063000900,2996,2174,1967,2198,1668,1729,1904,2176,1999,2109,1806,1710,1783,1751
37063001001,5198,4426,4416,4908,3466,4621,4231,4330,4377,3801,4136,3706,3879,3672
37063001002,4137,5038,4897,6050,5974,5437,5643,5925,5776,6123,5779,5931,6140,5538
37063001100,3469,2987,2731,3727,3225,2825,2963,3335,3617,3425,3173,3183,4151,3102
37063001301,2219,1705,1524,1407,1128,1008,1087,1292,1408,1384,1486,1382,1432,1957
37063001303,3527,3283,3649,3642,3676,3284,3303,3465,3591,3646,3928,3985,4052,4537
37063001304,4020,3743,2843,2882,2557,2772,2694,2798,3006,3305,3226,3411,2781,2577
37063001400,3621,3234,3084,3413,2609,2921,2573,2460,2542,2375,2505,2397,2746,2573
37063001501,4119,4663,4600,3008,3070,2929,2849,2836,2911,2948,3162,3387,3430,3559
37063001502,3315,3783,5188,6122,5986,6423,6655,6441,6292,6041,6177,5928,6984,6115
37063001503,615,696,0,1694,1941,1836,1792,1621,1642,1638,1671,1727,1861,1909
37063001601,1640,3816,4349,5516,5806,6326,6580,5838,6114,6061,6107,6435,6117,5184
37063001603,1602,4413,4813,5540,6271,6267,6151,6255,6277,6488,6586,6829,6822.000000000432,7235.000000000342
37063001604,1527,4205,5311,5350,6645,6794,6474,6777,6599,6664,6532,6381,6655,6591
37063001705,2261,3367,4256,4073,4519,4317,4764,4735,5202,5198,5115,5050,5460.999999999191,5348.940083881816
37063001706,992,1395,3212,3847,4179,4453,4645,4808,5033,4954,5188,5321,5252,5219
