id,y_1970,y_1980,y_1990,y_2000,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016
37063000101,1,1,1,1,1,1151,1180,1163,1111,1136,1206
37063000102,1,1,1,1,1,1732,1736,1815,1858,1873,1874
37063000200,1,1,1,1,1,1306,1323,1368,1303,1279,1287
37063000301,1,1,1,1,1,1119,1155,1226,1178,1131,1186
37063000302,1,1,1,1,1,1604,1605,1644,1591,1615,1675
37063000401,1,1,1,1,1,1224,1230,1292,1313,1336,1361
37063000402,1,1,1,1,1,1111,1080,1054,1044,1058,1064
37063000500,1,1,1,1,1,1423,1330,1271,1315,1397,1515
37063000600,1,1,1,1,1,1863,2007,2011,2086,2214,2316
37063000700,1,1,1,1,1,1310,1408,1451,1600,1669,1723
37063000900,1,1,1,1,1,643,643,682,693,762,731
37063001001,1,1,1,1,1,1258,1288,1266,1303,1275,1262
37063001002,1,1,1,1,1,1763,1886,2000,2144,2170,2099
37063001100,1,1,1,1,1,1001,1100,1162,1213,1247,1332
37063001301,1,1,1,1,1,476,470,451,477,524,548
37063001303,1,1,1,1,1,602,618,618,665,693,698
37063001304,1,1,1,1,1,1031,1042,1048,1049,1081,1151
37063001400,1,1,1,1,1,1168,1141,1123,1053,973,926
37063001501,1,1,1,1,1,36,39,37,43,31,35
37063001502,1,1,1,1,1,2432,2603,2612,2844,2924,3098
37063001503,1,1,,1,1,26,,,,,
37063001601,1,1,1,1,1,2175,2142,2213,2245,2246,2257
37063001603,1,1,1,1,1,2303,2336,2443,2469,2531,2589
37063001604,1,1,1,1,1,2503,2504,2517,2479,2620,2541
37063001705,1,1,1,1,1,2054,2109,2135,2238,2286,2359
37063001706,1,1,1,1,1,1974,1967,2161,2303,2353,2444
37063001707,1,1,1,1,1,2928,2998,3027,3039,3105,3214
37063001708,1,1,1,1,1,1520,1611,1726,1769,1780,1769
37063001709,1,1,1,1,1,2324,2455,2454,2432,2538,2682
37063001710,1,1,1,1,1,1795,1787,1794,1874,1764,1768
37063001711,1,1,1,1,1,1927,1943,1884,1924,2042,2086
37063001801,1,1,1,1,1,2324,2391,2463,2533,2661,2614
37063001802,1,1,1,1,1,2461,2313,2244,2347,2343,2424
37063001806,1,1,1,1,1,2128,2143,2170,2151,2216,2225
37063001807,1,1,1,1,1,3482,3383,3409,3413,3356,3340
37063001808,1,1,1,1,1,1692,1802,2001,2202,2583,2945
37063001809,1,1,1,1,1,2601,2534,2504,2392,2429,2489
37063001900,1,1,1,1,1,985,1008,1104,1141,1291,1379
37063002007,1,1,1,1,1,2199,2246,2255,2204,2201,2222
37063002008,1,1,1,1,1,1202,1233,1255,1281,1274,1255
37063002009,1,1,1,1,1,1792,1917,1797,1769,1803,1837
37063002013,1,1,1,1,1,1787,1846,1855,1908,1896,1911
37063002015,1,1,1,1,1,2342,2456,2354,2420,2465,2535
37063002016,1,1,1,1,1,2470,2496,2610,2676,2654,2636
37063002017,1,1,1,1,1,2815,2937,3045,3180,3419,3609
37063002018,1,1,1,1,1,3749,3712,3988,4085,3999,3958
37063002019,1,1,1,1,1,2284,2402,2428,2454,2478,2486
37063002020,1,1,1,1,1,2035,2100,2166,2300,2371,2425
37063002021,1,1,1,1,1,2130,2226,2318,2216,2119,2067
37063002022,1,1,1,1,1,2341,2363,2375,2321,2327,2375
37063002023,1,1,1,1,1,1270,1276,1315,1271,1326,1363
37063002024,1,1,1,1,1,2794,2778,2794,2842,2893,2990
37063002025,1,1,1,1,1,2388,2543,2542,2645,2659,2741
37063002026,1,1,1,1,1,2430,2410,2475,2596,2653,2730
37063002027,1,1,1,1,1,3473,3436,3484,3632,3891,3994
37063002028,1,1,1,1,1,2775,2915,3058,3332,3381,3610
37063002100,1,1,1,1,1,2337,2348,2372,2352,2454,2514
37063002200,1,1,1,1,1,746,756,855,885,858,894
37063002300,1,1,1,1,1,311,364,360,336,322,317
37063980100,1,1,1,1,1,25,39,32,25,,
