"id","y_2010","y_2015","y_2016","y_2017","y_2018"
370630017101,2581,2531,3022,3048,3188
370630017102,2124,1713,1326,1354,1331
370630017111,1305,1278,1161,1280,1244
370630017112,1616,1847,1821,1850,1666
370630017113,1582,1575,1638,1610,1563
370630018011,1890,2719,1693,1745,1705
370630018012,658,412,750,716,1066
370630018013,2550,2995,3758,3637,3122
370630018014,1279,1393,1159,1367,1937
370630018015,746,489,492,438,435
370630018021,2033,2108,2310,2463,2274
370630018022,1629,1670,1855,2319,2223
370630018023,2176,2263,2125,2046,1936
370630018024,898,816,1162,1365,1518
370630018061,1742,2168,2159,2118,2032
370630018062,3930,3506,3845,4688,5511
370630018071,3266,3055,2882,3439,3025
370630018072,3450,3515,3631,3789,3787
370630018073,2700,2722,2640,2404,2623
370630018081,2080,2092,2389,2404,2582
370630018082,2966,5026,5565,6328,7162
370630018091,2484,2826,2781,3167,3657
370630018092,2664,3270,2667,2769,2514
370630019001,729,663,659,966,1493
370630019002,2118,2348,2443,2487,2635
370630020071,1732,2001,1827,2006,1737
370630020072,2306,2133,2529,2388,2546
370630020073,816,730,725,778,646
370630020081,960,859,921,896,870
370630020082,1947,2210,2180,2207,2195
370630020091,1904,1692,1601,1494,1771
370630020092,1119,1019,1151,1220,1115
370630020093,1662,1692,1807,1842,1802
370630020131,1553,1375,1387,1316,1373
370630020132,898,957,1018,999,1181
370630020133,2030,2351,2145,2132,2023
370630020151,2253,2865,2595,3038,3489
370630020152,2183,1845,2153,2062,1783
370630020153,691,736,757,682,666
370630020161,3228,2825,2982,3323,2870
370630020162,2156,3008,2749,2618,2592
370630020171,2308,2318,2352,2415,2550
370630020172,1339,1474,1466,1283,1312
370630020173,3007,3658,3797,3808,3943
370630020181,2327,2397,2422,2489,2723
370630020182,2701,3358,3610,3799,3730
370630020183,2455,2447,2642,3193,2956
370630020191,1399,1434,1372,1345,1061
370630020192,1536,1812,1784,1783,1622
370630020193,1473,1504,1688,1711,1865
370630020201,2032,2585,2102,2258,2040
370630020202,3862,4317,4869,4635,5117
370630020211,3016,2938,2807,3173,2971
370630020212,1416,1538,1711,1237,1405
370630020221,1822,2244,2427,2366,2529
370630020222,2485,2372,2261,2272,2366
370630020231,1195,1156,1446,1412,1577
370630020232,1613,1988,1862,1785,1696
370630020241,3582,3872,4070,4247,4229
370630020242,1033,970,928,1169,1093
370630020243,1233,1297,1190,1059,1099
370630020251,2114,2873,2681,2765,2694
370630020252,2464,2283,2553,2841,2990
370630020253,1360,1427,1664,1424,1478
370630020261,2265,2368,2538,2531,3342
370630020262,3548,4017,3896,3860,3652
370630020271,1473,2408,1481,1201,1397
370630020272,4164,4751,5679,5872,6329
370630020273,1635,1783,1939,2225,2269
370630020281,2246,2917,2778,2699,2698
370630020282,1183,1372,1676,1774,2111
370630020283,2572,2794,3150,3546,4383
370630021001,2270,2047,2152,2204,2234
370630021002,2193,5487,5549,5336,5324
370630021003,1899,1713,1583,1609,1838
370630022001,1946,1758,1835,2153,2054
370630023001,1154,962,1058,1062,1007
370630023002,177,403,426,284,590
370639801001,4,0,0,0,0
