id,y_2018
370630001011,593
370630001012,737
370630001021,1122
370630001022,844
370630002001,466
370630002002,648
370630002003,437
370630003011,563
370630003012,332
370630003013,353
370630003021,385
370630003022,497
370630003023,907
370630004011,463
370630004012,436
370630004013,354
370630004021,2215
370630005001,904
370630005002,374
370630005003,707
370630005004,468
370630006001,1434
370630006002,945
370630006003,269
370630007001,1185
370630007002,573
370630007003,513
370630009001,433
370630009002,468
370630010011,392
370630010012,570
370630010013,603
370630010021,1087
370630010022,328
370630010023,372
370630010024,521
370630011001,893
370630011002,604
370630013011,704
370630013031,514
370630013032,304
370630013041,1139
370630014001,443
370630014002,760
370630015011,137
370630015021,1832
370630015022,2090
370630015023,1667
370630015024,633
370630015031,0
370630016011,625
370630016012,1187
370630016013,832
370630016031,285
370630016032,1178
370630016033,551
370630016034,724
370630016041,871
370630016042,1146
370630016043,706
370630017051,1391
370630017052,1229
370630017053,693
370630017061,1553
370630017062,1214
370630017071,485
370630017072,749
370630017073,264
370630017074,825
370630017075,1201
370630017081,1705
370630017091,369
370630017092,358
370630017093,2766
370630017101,1163
370630017102,726
370630017111,1454
370630017112,771
370630017113,1706
370630018011,808
370630018012,280
370630018013,1088
370630018014,576
370630018015,330
370630018021,813
370630018022,671
370630018023,798
370630018024,352
370630018061,763
370630018062,1746
370630018071,1385
370630018072,1304
370630018073,1063
370630018081,844
370630018082,3375
370630018091,1983
370630018092,1203
370630019001,1454
370630019002,1108
370630020071,847
370630020072,1165
370630020073,377
370630020081,391
370630020082,858
370630020091,795
370630020092,462
370630020093,753
370630020131,711
370630020132,402
370630020133,803
370630020151,994
370630020152,1141
370630020153,547
370630020161,1855
370630020162,1341
370630020171,1023
370630020172,716
370630020173,1923
370630020181,1425
370630020182,2303
370630020183,1898
370630020191,891
370630020192,1119
370630020193,823
370630020201,818
370630020202,2015
370630020211,1749
370630020212,565
370630020221,1133
370630020222,1823
370630020231,608
370630020232,878
370630020241,1846
370630020242,693
370630020243,828
370630020251,988
370630020252,1048
370630020253,601
370630020261,1035
370630020262,1848
370630020271,1310
370630020272,2964
370630020273,1670
370630020281,1412
370630020282,960
370630020283,4576
370630021001,1020
370630021002,946
370630021003,905
370630022001,1782
370630023001,763
370630023002,627
370639801001,131
