id,y_2017
370630001011,837
370630001011,728
370630001012,1321
370630001012,1229
370630001021,1492
370630001021,1375
370630001022,1243
370630001022,1099
370630002001,747
370630002001,675
370630002002,634
370630002002,721
370630002003,606
370630002003,628
370630003011,710
370630003011,627
370630003012,491
370630003012,425
370630003013,536
370630003013,502
370630003021,636
370630003021,529
370630003022,799
370630003022,628
370630003023,1189
370630003023,1027
370630004011,714
370630004011,665
370630004012,646
370630004012,706
370630004013,571
370630004013,513
370630004021,1633
370630004021,1840
370630005001,406
370630005001,314
370630005002,576
370630005002,481
370630005003,671
370630005003,936
370630005004,734
370630005004,638
370630006001,1896
370630006001,1628
370630006002,1529
370630006002,1400
370630006003,419
370630006003,511
370630007001,848
370630007001,602
370630007002,713
370630007002,697
370630007003,660
370630007003,760
370630009001,521
370630009001,565
370630009002,752
370630009002,671
370630010011,635
370630010011,659
370630010012,821
370630010012,883
370630010013,1027
370630010013,941
370630010021,1778
370630010021,1935
370630010022,460
370630010022,492
370630010023,532
370630010023,613
370630010024,740
370630010024,826
370630011001,1354
370630011001,1721
370630011002,1096
370630011002,1042
370630013011,906
370630013011,1066
370630013031,924
370630013031,1004
370630013032,446
370630013032,378
370630013041,1830
370630013041,1691
370630014001,472
370630014001,564
370630014002,933
370630014002,851
370630015011,146
370630015011,129
370630015021,1626
370630015021,1649
370630015022,814
370630015022,731
370630015023,1383
370630015023,1267
370630015024,669
370630015024,802
370630015031,6
370630015031,8
370630016011,740
370630016011,725
370630016012,1909
370630016012,2026
370630016013,1154
370630016013,1144
370630016031,414
370630016031,448
370630016032,1909
370630016032,1881
370630016033,885
370630016033,875
370630016034,1166
370630016034,1226
370630016041,1410
370630016041,1360
370630016042,1824
370630016042,1882
370630016043,1116
370630016043,1190
370630017051,1032
370630017051,1128
370630017052,1403
370630017052,1485
370630017053,860
370630017053,920
370630017061,1872
370630017061,1880
370630017062,1445
370630017062,1296
370630017071,769
370630017071,841
370630017072,1112
370630017072,1179
370630017073,465
370630017073,498
370630017074,1243
370630017074,1230
370630017075,1084
370630017075,1244
370630017081,2762
370630017081,2774
370630017091,740
370630017091,668
370630017092,726
370630017092,695
370630017093,2479
370630017093,2498
370630017101,1719
370630017101,1620
370630017102,968
370630017102,1094
370630017111,689
370630017111,750
370630017112,889
370630017112,975
370630017113,1061
370630017113,962
370630018011,1226
370630018011,1238
370630018012,473
370630018012,446
370630018013,1783
370630018013,1760
370630018014,813
370630018014,857
370630018015,506
370630018015,492
370630018021,1298
370630018021,1323
370630018022,954
370630018022,1132
370630018023,1374
370630018023,1527
370630018024,570
370630018024,522
370630018061,1150
370630018061,1085
370630018062,2400
370630018062,2365
370630018071,1638
370630018071,1657
370630018072,2160
370630018072,2034
370630018073,1711
370630018073,1678
370630018081,1285
370630018081,1249
370630018082,2658
370630018082,3759
370630018091,1757
370630018091,1730
370630018092,1610
370630018092,1488
370630019001,1505
370630019001,538
370630019002,1143
370630019002,1077
370630020071,1260
370630020071,1220
370630020072,1504
370630020072,1430
370630020073,551
370630020073,551
370630020081,674
370630020081,715
370630020082,1270
370630020082,1336
370630020091,1299
370630020091,1228
370630020092,740
370630020092,784
370630020093,1225
370630020093,1291
370630020131,978
370630020131,982
370630020132,493
370630020132,587
370630020133,1208
370630020133,1086
370630020151,1446
370630020151,1301
370630020152,1252
370630020152,1440
370630020153,573
370630020153,588
370630020161,1650
370630020161,2069
370630020162,1066
370630020162,1076
370630020171,1667
370630020171,1624
370630020172,1086
370630020172,1029
370630020173,2115
370630020173,2270
370630020181,1113
370630020181,1182
370630020182,1807
370630020182,1565
370630020183,1556
370630020183,1576
370630020191,574
370630020191,511
370630020192,568
370630020192,545
370630020193,641
370630020193,592
370630020201,1081
370630020201,1053
370630020202,2735
370630020202,2503
370630020211,1557
370630020211,1830
370630020212,764
370630020212,731
370630020221,1086
370630020221,1221
370630020222,1463
370630020222,1696
370630020231,730
370630020231,625
370630020232,970
370630020232,1072
370630020241,2526
370630020241,2540
370630020242,668
370630020242,738
370630020243,788
370630020243,854
370630020251,1421
370630020251,1322
370630020252,1415
370630020252,1590
370630020253,754
370630020253,722
370630020261,1279
370630020261,1488
370630020262,2010
370630020262,2198
370630020271,941
370630020271,1215
370630020272,2674
370630020272,2551
370630020273,961
370630020273,758
370630020281,1354
370630020281,1364
370630020282,900
370630020282,742
370630020283,1985
370630020283,1467
370630021001,1607
370630021001,1651
370630021002,1324
370630021002,1293
370630021003,1245
370630021003,1216
370630022001,1303
370630022001,1815
370630023001,545
370630023001,578
370630023002,224
370630023002,277
370639801001,9
370639801001,28
