id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
370630017111,220317,207010,190156,231066,216651,264430,281134,272320,254064,774980,977217,1204583,1295207
370630017112,436020,480411,482662,551232,635065,611153,643720,672210,752000,602540,770620,665742,596761
370630017113,497497,457616,475650,450408,477802,539612,559968,581256,584640,387122,440006,673204,693503
370630018011,106182,104566,79424,,,,,,,,,,
370630018012,70140,71370,75936,34776,57150,84133,100548,145678,230545,220116,245716,263557,
370630018013,162288,246500,225170,161298,174248,171600,144771,140708,142898,279015,237650,409751,563128
370630018014,,,72726,80620,129425,147552,99691,84027,71484,279015,192873,466128,519852
370630018015,,38208,35341,,,,,,,,,,99653
370630018021,155479,70090,77500,146174,164971,208260,246744,276379,285439,366209,332673,366069,369036
370630018022,231072,174825,137808,130221,199143,243194,370944,438060,417171,334799,339903,347119,333461
370630018023,278888,334194,340844,307307,304515,245841,237500,294300,488807,547860,544446,579568,411750
370630018024,121407,115920,98884,97014,66669,117486,158873,161622,129272,65094,,,
370630018061,97830,47216,53032,97400,134190,143792,166803,,,,,,
370630018062,196854,232866,317148,266662,251160,232755,274056,408291,354723,150345,244827,480816,585550
370630018071,316279,285852,377400,371817,351594,335891,422716,354484,437437,268924,447840,692980,887092
370630018072,173696,218130,211318,264103,307008,354445,334112,288075,,,,137618,214140
370630018073,247986,166294,152768,167222,127000,185400,148074,290187,395232,357376,,,223488
370630018081,,35594,44550,63648,68264,59731,,,,137862,151848,,
370630018082,110370,109500,150880,173340,290410,505400,436239,442488,543968,159315,245593,560927,687555
370630018091,846888,771256,819820,819155,918380,1053500,1297116,1490560,1603948,996892,999462,2425566,2424650
370630018092,305442,307440,267518,288558,376380,310650,363285,339228,381728,152431,225672,582873,754217
370630019001,,31080,39923,31001,40663,56832,73800,117360,115115,107484,257363,330423,423540
370630019002,71642,117192,109830,70354,67669,57520,,173283,239280,141854,263264,264683,427968
370630020071,133630,86009,81760,134310,163336,208984,201026,200825,,204880,165529,122998,120951
370630020072,270424,316750,305641,241554,237652,332432,325692,525749,570210,251527,267266,641237,597123
370630020073,49714,,,,,,,,,,,,
370630020081,31977,75924,90506,107100,98235,82222,,,,,,,
370630020082,71280,85272,57605,63180,67536,58238,68080,,,36352,,129259,140924
370630020091,172212,260208,183604,206264,212965,202824,147552,197160,294769,327275,340054,323680,427635
370630020092,127952,123930,96380,98606,112998,125304,103383,128849,151866,156096,180940,170170,218868
370630020093,266060,262808,239795,182450,177530,197100,253626,246356,194616,195624,111150,129471,129438
370630020131,162036,150400,168335,172302,124974,134320,124160,97584,94754,93863,50580,137690,195251
370630020132,108478,107280,113449,194147,215860,189028,200000,164150,96720,82196,,,
370630020133,162520,164862,126850,125895,157182,166744,174798,234604,235637,71572,81781,107022,96306
370630020151,507952,504630,476928,533120,637572,600141,685032,891318,1084468,447923,530851,858733,1032984
370630020152,690640,809421,730496,749070,752983,837000,727883,645018,646880,685601,668111,935478,1095908
370630020153,451576,440640,419520,367667,404250,406667,402948,433200,454125,529451,551975,784092,857520
370630020161,1092915,1043970,1080028,966120,988871,1058946,1158980,1100168,1184200,350507,367490,1320426,1519000
370630020162,729315,784038,830903,1063962,1030400,996519,952575,965943,877536,386460,479591,1076637,1127092
370630020171,31900,93744,221760,213237,227942,250767,142648,,,159759,156000,,
370630020172,71797,134018,98022,106400,122430,168974,104286,139748,104222,186413,184546,141680,179696
370630020173,932670,1090508,1104540,1272330,1460618,1561539,1564952,1658800,1609651,1106718,1101815,2402837,2490950
370630020181,578760,515901,554025,625425,610836,552249,681312,661330,858816,502356,461352,825125,804828
370630020182,882900,867536,1000552,1030656,1041400,1103930,1270065,1368500,1510126,979941,872718,1655202,1904927
370630020183,25270,25416,87047,142396,148960,193068,312417,328520,625983,776485,641341,1157495,1291902
370630020191,598928,685212,602160,679272,671898,555504,554292,494182,695000,822890,849285,930495,944552
370630020192,545708,617652,544824,537030,581652,585817,659000,689172,666270,618345,612360,781494,833829
370630020193,20026,32436,33300,,103040,143925,130880,115705,102672,,,,
370630020201,42627,56322,132660,,177664,272218,348500,163410,156526,185250,182886,,124264
370630020202,,,,,,,,,,,,,
370630020211,1037910,1083096,1305125,1269056,1171212,1222611,1354320,1347219,1613841,546128,669513,1690106,1484785
370630020212,44835,186181,169648,227115,250946,327006,214380,264384,278882,570095,356095,178265,158616
370630020221,973080,976398,974916,853751,879660,966766,967680,1079910,1118068,681377,707653,1163011,1167668
370630020222,323392,304236,391160,449449,592127,466200,491326,623542,684432,358109,925407,706010,707579
370630020231,241800,270084,310430,319875,310728,371875,403325,421876,440374,331500,357155,355776,369261
370630020232,312555,352590,330429,319459,385526,370527,367741,443520,495972,276295,286622,623104,614364
370630020241,336514,303951,321456,367227,494560,505761,526308,412652,346629,86782,120291,246371,278699
370630020242,132102,101787,110635,140056,213776,142222,187369,169400,165680,133848,138600,140864,106252
370630020243,190278,185472,217560,208320,284598,226324,233864,241920,234188,87330,89103,318099,277436
370630020251,75260,,,64395,189100,203544,224784,272968,278980,315690,431484,388944,579076
370630020252,210672,261240,203856,238293,228534,318825,405195,541002,494001,238980,200196,466261,465543
