id,y_2000,y_2001,y_2002,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019
370630020191,10,12,8,56,62,90,103,167,101,98,78,58,74,73,48,67,42,49,53
370630020192,5,13,5,8,11,4,2,5,1,9,4,3,2,3,2,6,4,2,10
370630020193,4,1,5,5,5,0,7,7,0,1,3,0,1,1,0,0,0,0,0
370630020201,0,3,4,2,4,0,7,4,6,7,6,2,3,4,2,2,5,0,0
370630020202,9,12,12,15,9,9,9,8,25,15,23,1,1,7,8,5,8,11,18
370630020211,26,44,61,52,86,96,121,121,198,203,211,84,85,70,65,71,62,113,74
370630020212,84,37,71,95,57,117,133,118,32,19,26,26,33,54,27,21,84,66,53
370630020221,21,23,45,85,110,75,75,74,67,83,97,98,83,99,73,82,41,40,94
370630020222,39,40,58,113,136,113,136,114,116,93,93,73,95,64,64,46,47,60,50
370630020231,15,27,23,64,125,130,190,232,233,287,214,126,124,113,98,83,55,31,33
370630020232,24,17,26,66,51,77,65,78,50,64,75,40,32,29,49,43,25,73,96
370630020241,35,31,36,37,46,32,49,43,61,44,46,52,48,52,40,36,33,32,13
370630020242,9,23,19,29,35,44,55,40,26,31,66,36,17,24,18,15,6,15,7
370630020243,32,15,11,21,22,37,54,67,44,50,40,51,24,22,6,3,3,6,3
370630020251,15,14,12,6,10,14,10,17,13,11,11,13,5,7,7,3,9,6,6
370630020252,62,45,88,148,153,179,229,226,224,182,147,154,123,95,99,111,94,96,62
370630020253,40,23,31,54,51,53,92,108,79,116,106,94,48,32,55,57,41,78,40
370630020261,24,31,99,56,47,71,45,58,71,68,97,47,74,87,50,44,50,63,68
370630020262,170,140,206,283,317,284,267,310,391,445,470,317,434,457,412,363,270,262,370
370630020271,25,21,42,37,60,21,34,28,40,47,25,16,28,64,39,49,62,26,16
370630020272,34,36,100,162,163,132,158,242,153,213,215,186,175,183,164,119,202,169,209
370630020273,42,61,72,133,185,187,137,129,111,221,305,270,226,214,206,163,138,251,279
370630020281,2,2,16,5,6,18,17,21,28,19,14,15,6,7,6,8,8,12,4
370630020282,6,6,4,87,211,240,186,139,173,127,92,72,45,77,70,86,115,120,96
370630020283,5,29,25,41,57,109,129,178,257,286,210,259,286,219,181,177,176,269,325
370630021001,6,8,18,12,8,7,10,13,9,9,5,3,4,1,1,3,3,0,3
370630021002,11,14,15,7,16,26,22,46,31,22,27,15,20,18,9,3,5,5,10
370630021003,13,10,6,8,10,13,8,11,3,9,8,11,6,4,3,2,8,15,5
370630022001,286,267,276,216,185,156,112,105,123,80,140,65,79,61,73,48,52,56,48
370630023001,202,183,245,176,198,178,153,118,128,100,88,65,69,52,57,62,42,49,32
370630023002,100,108,185,79,160,138,40,40,34,34,34,39,63,52,35,52,29,41,54
370639801001,19,10,24,30,27,19,7,8,26,13,15,5,9,16,19,10,19,7,1
