"id","y_2011","y_2012","y_2013","y_2014","y_2015","y_2016","y_2017","y_2018","y_2019"
370630019002,12572,13802,12673,18002,14230,12785,10255,10702,11463
370630020071,6674,30998,25711,24130,21127,17360,14111,33763,31253
370630020072,6365,6430,8555,6735,14453,17277,24595,16963,14632
370630020073,19354,19827,18545,13556,11925,19671,20564,12789,30648
370630020081,61194,42294,45346,53775,32604,64024,53526,42981,49011
370630020082,42246,30198,25748,29285,44332,34970,20840,16301,18934
370630020091,20988,23840,19500,11136,13445,11672,5268,3756,6058
370630020092,26405,18559,18848,11387,21186,17288,8064,6258,9908
370630020093,8431,4820,8400,5637,5967,6477,9611,9545,16269
370630020131,11243,22189,18935,10846,15804,18043,14353,9658,32188
370630020132,13865,20907,22548,9065,21459,19807,17117,16385,31706
370630020133,15247,18860,19434,11906,15338,14526,10713,12828,15381
370630020151,8364,8147,11980,15667,6748,9455,10007,10079,8740
370630020152,5734,5168,10881,10463,7827,9894,12762,11946,5814
370630020153,25753,26782,46075,47485,22586,18416,10157,10650,14370
370630020161,5624,8028,5064,3740,7407,9111,6440,8705,3985
370630020162,10419,10631,6515,8531,7113,5631,10821,16960,17231
370630020171,37153,53474,40112,32955,29189,22574,16597,37741,24861
370630020172,28862,25550,27112,32582,52658,20692,46706,27428,19648
370630020173,13562,31627,13554,11353,12287,9295,8717,7736,8021
370630020181,12444,18948,20594,17746,43776,41989,50406,23784,25898
370630020182,7665,6830,4463,5066,8228,14363,9982,13202,10934
370630020183,28274,22281,15289,17075,15713,12717,13404,16940,12105
370630020191,9129,13826,10141,7153,15029,10611,25909,14592,6956
370630020192,28789,15803,33916,22520,28522,21215,49360,33428,30382
370630020193,23149,26875,28582,19516,12923,26311,15481,19498,26373
370630020201,21451,12512,8473,11347,51512,13519,15691,21161,20564
370630020202,23627,15701,21293,11427,14366,11088,9563,20700,20949
370630020211,6837,14568,14101,11497,15711,15937,16277,13209,14900
370630020212,26635,44068,45563,23913,44550,18652,58374,41173,72933
370630020221,9471,6574,7641,9555,3847,6152,8437,12114,12076
370630020222,15180,15267,34849,25284,21091,22201,25261,19303,18887
370630020231,5787,11156,13469,14786,14855,7110,19829,11150,15999
370630020232,20864,30055,29749,29337,33023,36328,18574,25086,13717
370630020241,12040,8089,10047,12911,22801,22253,15960,19203,16296
370630020242,9592,8824,19017,34845,21933,20799,15598,17230,30555
370630020243,25157,11788,18053,13163,17011,20600,14070,14921,23632
370630020251,8630,26727,11198,13643,15058,15345,31402,17946,21356
370630020252,10278,14106,28102,4531,27040,27639,18573,31052,21699
