id,y_2016
37063000101,566
37063000102,701
37063000200,514
37063000301,577
37063000302,917
37063000401,740
37063000402,504
37063000500,647
37063000600,895
37063000700,612
37063000900,131
37063001001,308
37063001002,426
37063001100,331
37063001301,151
37063001303,643
37063001304,327
37063001400,251
37063001501,227
37063001502,1232
37063001503,173
37063001601,1103
37063001603,1323
37063001604,1039
37063001705,934
37063001706,1374
37063001707,1406
37063001708,918
37063001709,904
37063001710,773
37063001711,841
37063001801,1173
37063001802,838
37063001806,1185
37063001807,1523
37063001808,1547
37063001809,977
37063001900,469
37063002007,1250
37063002008,727
37063002009,495
37063002013,815
37063002015,841
37063002016,1108
37063002017,2156
37063002018,2025
37063002019,1352
37063002020,1381
37063002021,1033
37063002022,1133
37063002023,723
37063002024,1807
37063002025,1316
37063002026,1337
37063002027,1162
37063002028,1367
37063002100,950
37063002200,460
37063002300,107
37063980100,0
